datetime,who_sent,text,direction
"2026-08-18 16:05:05",Dan,"It’s supposed to map my mind and how I think by looking at all of this raw data that I can’t skew with my bias",outbound
"2026-08-18 16:05:46",Dan,"It’s still cranking out your new entry. It’s been analyzing and writing for almost 3 hours now",outbound
"2026-08-18 16:06:10",Dan,"￼",outbound
"2026-08-18 16:06:15",Dan,"It reverse engineered your birthday lol",outbound
"2026-08-18 16:09:44",Ally,"You rage text like me ",inbound
"2026-08-18 16:10:09",Dan,"people HATE it. I try so hard but I can’t help it",outbound
"2026-08-18 16:10:21",Dan,"I text in the same cadence I speak",outbound
"2026-08-18 16:11:30",Ally,"I do too (usually) ",inbound
"2026-08-18 16:11:38",Ally,"Why am I scared for my entry ",inbound
"2026-08-18 16:20:00",Dan,"Listen you have nothing to fear in it - you’ve only ever been reasonable, tempered and surprisingly normal in these convos",outbound
"2026-08-18 16:20:27",Dan,"It’s I who has been the absolute maniac and like…felt the need to broadcast it",outbound
"2026-08-18 16:21:15",Dan,"Not to mention I saw it found 2014 google searches for ""ally Lubin model mayhem” “ally Lubin deviantart” (lmao) and “ally Lubin boca raton model” ",outbound
"2026-08-18 16:21:29",Dan,"proper creep shit",outbound
"2026-08-18 16:24:22",Dan,"I have the first draft ",outbound
"2026-08-18 16:24:45",Dan,"￼We can read it together. I have absolutely no idea what it says in here so don’t blame me if it’s wild as fuck",outbound
"2026-08-18 16:26:00",Ally,"Deviantart is crazy ",inbound
"2026-08-18 16:27:22",Dan,"Are we SURE I spoofed clandan’s number because I don’t even understand how that would have helped me lol",outbound
"2026-08-18 16:28:06",Dan,"I mean it’s absolutely something I would have done so that’s a point against me but at the same time i hold out hope that it is hallucinating and misunderstood something ",outbound
"2026-08-18 16:28:09",Ally,"claim: ""Dan's first documented outbound contact after seve
ring the eleven-year relationship at 00:27:49 is not to family
 or to a friend but to Ally, nineteen hours later",inbound
"2026-08-18 16:28:22",Dan,"Told ya",outbound
"2026-08-18 16:29:26",Dan,"Bob Lubin making a cameo appearance in my wiki",outbound
"2026-08-18 16:29:38",Dan,"Imagine trying to explain that lol",outbound
"2026-08-18 16:34:57",Ally,"￼",inbound
"2026-08-18 16:35:01",Ally,"I don’t even talk to my dad anymore lol ",inbound
"2026-08-18 16:35:48",Dan,"I am realizing as I read this 

A. This entire excersize is absolutely insane 

B. I should seek a therapist ",outbound
"2026-08-18 16:37:13",Ally,"It’s pretty good data to have ",inbound
"2026-08-18 16:37:18",Ally,"The summaries are accurate ",inbound
"2026-08-18 16:38:10",Dan,"Oh wow okay so the actual final draft is like 4x longer ",outbound
"2026-08-18 16:41:26",Ally,"I forgot you dated Alexis ",inbound
"2026-08-18 16:41:45",Ally,"I liked when it reminded me I lost my job and wanted to kill my self ",inbound
"2026-08-18 16:42:53",Dan,"Hey that was the only semi-redeeming part of the whole thing. It said i was mildly supportive or something lol

..but then it mentions that I was also still asking to see your, and I quote, “luscious tits”",outbound
"2026-08-18 16:43:30",Ally,"Laughed at “Hey that was the only semi-redeeming part of the whole thing. It said i was mildly supportive or something lol

..but then it mentions that I was also still asking to see your, and I quote, “luscious tits””",inbound
"2026-08-18 16:43:38",Ally,"Yeah I mean I’ve been objectified my entire life so ",inbound
"2026-08-18 16:43:41",Ally,"Nothing new there ",inbound
"2026-08-18 16:46:01",Dan,"Okay im going to push back on that one because I liked you for your cultural cache, taste and aesthetic SO long before I had even imagined the opportunity to ask to see your award-winning, best in show titties  ",outbound
"2026-08-18 16:46:46",Dan,"I did reverse objectification. You hooked me with your tweets and THEN I realized you were a baddie ",outbound
"2026-08-18 16:47:02",Ally,"Ok that’s fair actually ",inbound
"2026-08-18 16:48:58",Dan,"Yeah I mean, it’s probably not completely exoneration but we also know now that I was willing to pay $1050 per breast image and would still argue that was a great investment",outbound
"2026-08-18 16:49:29",Dan,"10/10 would objectify again",outbound
"2026-08-18 16:49:37",Ally,"I’m a SINGLE MOTHER",inbound
"2026-08-18 16:49:46",Ally,"I def sent you more pics they just prob weren’t graphic nudes ",inbound
"2026-08-18 16:49:51",Ally,"TASTEFUL nudes ",inbound
"2026-08-18 16:50:13",Dan,"*record scratch*",outbound
"2026-08-18 16:50:19",Dan,"Are you still doing the cat mother thing",outbound
"2026-08-18 16:50:29",Dan,"Or did I miss that you’re an actual mother ",outbound
"2026-08-18 16:50:41",Dan,"The wiki needs to know lol",outbound
"2026-08-18 16:52:34",Ally,"No still just cats ",inbound
"2026-08-18 16:52:37",Ally,"But both of my cats died ",inbound
"2026-08-18 16:52:40",Ally,"So I got two more ",inbound
"2026-08-18 16:53:20",Dan,"Oh no im so sorry. Honestly worse than having and then losing or accidentally smothering a real child (I think)",outbound
"2026-08-18 16:53:29",Ally,"I almost sent you a boob pic on Snapchat but you’ll save it ",inbound
"2026-08-18 16:53:55",Ally,"Yeah Sylvia dying really fucked me up and then Edgar had nasal cancer and sneezed blood everywhere  ",inbound
"2026-08-18 16:56:32",Dan,"But in my head I was trying to reframe you as having a kid and that was seriously going to fuck up my ability to shift my psychic attention to simping on you ",outbound
"2026-08-18 16:56:39",Ally,"I’m not a cool girl anymore I’m just sad lol ",inbound
"2026-08-18 16:56:43",Ally,"Laughed at “But in my head I was trying to reframe you as having a kid and that was seriously going to fuck up my ability to shift my psychic attention to simping on you ”",inbound
"2026-08-18 16:56:50",Ally,"Oh wow you said fuck those kids ",inbound
"2026-08-18 16:56:55",Dan,"Listen it’s the worst isn’t it ",outbound
"2026-08-18 16:57:52",Dan,"No…well, yeah kind of …it’s just


For a million reasons that just would be an absolute disaster for me. That is not a sustainable situation for me ",outbound
"2026-08-18 16:58:12",Ally,"I just like sleeping ",inbound
"2026-08-18 16:58:16",Ally,"Kids don’t do that ",inbound
"2026-08-18 16:58:46",Dan,"Okay, game on ",outbound
"2026-08-18 17:00:27",Dan,"Dont you hate it so much it’s awful  ",outbound
"2026-08-18 17:01:27",Dan,"Being millennial was * barely* tolerable in 2006 and now it’s just bleak as fuck",outbound
"2026-08-18 17:02:36",Dan,"We are legitimately old now and yet still treated like we are too young to do anything important ",outbound
"2026-08-18 17:19:26",Ally,"I’m Gen Z in my mind ",inbound
"2026-08-18 17:19:33",Ally,"And most of my coworkers think I’m 26 ",inbound
"2026-08-18 17:22:07",Dan,"What’s your favorite Hawthorne heights song",outbound
"2026-08-18 17:23:19",Ally,"Prob saying sorry ",inbound
"2026-08-18 17:24:10",Dan,"Any answer to that question other than “huh?” Means you are just core millennial ",outbound
"2026-08-18 17:24:29",Dan,"Now I have to find that tweet with the most millennial video ever",outbound
"2026-08-18 17:25:58",Dan,https://x.com/historyinmemes/status/1748002807263998092,outbound
"2026-08-18 17:26:10",Dan,"Fuck wrong one but you get the point",outbound
"2026-08-18 18:11:37",Dan,"￼",outbound
"2026-08-18 18:11:59",Dan,"Maybe the best description of anyone in the entire thing ",outbound
"2026-08-18 18:14:22",Ally,"I’m crying ",inbound
"2026-08-18 18:15:27",Ally,"Internet famous figure ",inbound
"2026-08-18 18:15:32",Ally,"No physical component at all ",inbound
"2026-08-18 18:22:36",Dan,"Yeah tell meabout it",outbound
"2026-08-18 18:36:39",Ally,"Pls I called you when I was in NYC once and you were too scared ",inbound
"2026-08-18 19:41:37",Ally,"I read May- August ",inbound
"2026-08-18 19:48:11",Dan,"oh god no you didn’t lik",outbound
"2026-08-18 19:48:14",Dan,lol*,outbound
"2026-08-18 19:48:30",Dan,"This is why I never give anyone access to this oh god oh man",outbound
"2026-08-18 19:48:54",Dan,"Is that like its own article?",outbound
"2026-08-18 19:49:27",Dan,"Now you see why I need you to save me",outbound
"2026-08-18 19:53:44",Dan,"￼",outbound
"2026-08-18 19:53:53",Dan,"Claude didn’t write the update so there’s some hallucination in that batch but ",outbound
"2026-08-18 19:54:44",Dan,"￼",outbound
"2026-08-18 19:54:45",Dan,"Aka in love",outbound
"2026-08-18 19:56:34",Ally,"￼￼￼",inbound
"2026-08-18 19:56:39",Ally,"They kind of gagged ",inbound
"2026-08-18 19:58:27",Dan,"Yeah it doesn’t really seem to enjoy my antics ",outbound
"2026-08-18 19:58:31",Ally,"￼",inbound
"2026-08-18 19:58:31",Dan,"Though, noone ever does",outbound
"2026-08-18 20:00:13",Dan,"It keeps building off of all of the knowledge it stacks up so the observations get better and better ",outbound
"2026-08-18 20:02:27",Ally,"￼￼",inbound
"2026-08-18 20:03:16",Ally,"￼",inbound
"2026-08-18 20:04:28",Ally,"￼This is SO funny ",inbound
"2026-08-18 20:05:02",Ally,"I don’t think anyone will ever love me as much as you love Annie ",inbound
"2026-08-18 20:05:13",Ally,"But I can’t tell if it’s actually love or fear and codependency ",inbound
"2026-08-18 20:06:10",Ally,"Most of her texts are just asking for drugs but Eggie is a cute nickname ",inbound
"2026-08-18 20:07:28",Dan,"hahahahah yeah you're right they are",outbound
"2026-08-18 20:07:41",Dan,"but the whole thing makes quite clear what's going oin",outbound
"2026-08-18 20:07:46",Dan,"like it's not very ambiguous",outbound
"2026-08-18 20:07:46",Ally,"I mean the entire month of May 2026 at least ",inbound
"2026-08-18 20:08:02",Dan,"i did good i didn't speak to her for 2 months",outbound
"2026-08-18 20:08:19",Dan,"and she kept emailing after i blocked her and shit",outbound
"2026-08-18 20:08:21",Ally,"It was just weird to see you like spilling your guts and she was like ok I have $80",inbound
"2026-08-18 20:08:52",Dan,"which of the 99999999 times are you referring to lol",outbound
"2026-08-18 20:09:09",Dan,"because that's what the whole thign devoved into entirel",outbound
"2026-08-18 20:09:15",Ally,"I SAID MAY 2026",inbound
"2026-08-18 20:09:21",Ally,"Yeah I literally saw lol ",inbound
"2026-08-18 20:09:31",Ally,"Also you say the same thing to every girl ",inbound
"2026-08-18 20:09:35",Dan,"oh my god you didn't get to the end of may yet?",outbound
"2026-08-18 20:09:39",Ally,"“You’re the most beautiful girl in the world” etc ",inbound
"2026-08-18 20:09:41",Dan,"i really do ",outbound
"2026-08-18 20:09:45",Ally,"I just told you I read May- July ",inbound
"2026-08-18 20:09:47",Ally,"Keep up ",inbound
"2026-08-18 20:10:08",Dan,"but it's sincere ",outbound
"2026-08-18 20:10:17",Dan,"also you have a small sample size...",outbound
"2026-08-18 20:10:17",Ally,"Right so it’s not crazy ",inbound
"2026-08-18 20:10:26",Ally,"And she honestly probably enjoyed it ",inbound
"2026-08-18 20:10:28",Dan,"unless you've read more than i think ",outbound
"2026-08-18 20:10:31",Ally,"Questioned “also you have a small sample size...”",inbound
"2026-08-18 20:10:53",Dan,"you know what I said to you and now you know what I said to Annie so you can’t say it’s EVERY girl",outbound
"2026-08-18 20:10:53",Ally,"Like every girl wants to make a guy so insane ",inbound
"2026-08-18 20:11:11",Ally,Pleaseeeee,inbound
"2026-08-18 20:11:14",Ally,"Alexis too prob ",inbound
"2026-08-18 20:11:22",Dan,"there's only one way to find out",outbound
"2026-08-18 20:14:38",Ally,"The kidnapping part confuses me ",inbound
"2026-08-18 20:19:07",Dan,"She keeps claiming whenever he finds out she was texting me and he calls me and my mom to harass us that she was actually kidnapped and in danger at that time ",outbound
"2026-08-18 20:19:50",Dan,"You should hear what I recorded the other night I don’t think it’s in there yet ",outbound
"2026-08-18 20:19:56",Ally,"Yeah that’s the most insane shit I’ve ever heard ",inbound
"2026-08-18 20:20:22",Ally,"Honestly she sounds like an avoidant addict lol ",inbound
"2026-08-18 20:20:30",Ally,"Ppl will make up crazy shit ",inbound
"2026-08-18 20:20:51",Dan,"She’s like hall of famer BPD crazybitch ",outbound
"2026-08-18 20:21:13",Dan,"The weird thing to me was that she didn’t understand this would and would continue to blow up in her face ",outbound
"2026-08-18 20:21:32",Ally,"Well you’ve also said she’s stupid ",inbound
"2026-08-18 20:21:34",Dan,"But this other dude is like an actual violent psychopath so it’s hard to say what’s going on ",outbound
"2026-08-18 20:21:50",Dan,"She’s incurious and not intelligent ",outbound
"2026-08-18 20:22:07",Dan,"But you don’t need those to be conniving and manipulative successfully ",outbound
"2026-08-18 20:22:38",Ally,"Is she still with this dude? ",inbound
"2026-08-18 20:23:00",Ally,"What happened with your mom ",inbound
"2026-08-18 20:26:28",Dan,"￼",outbound
"2026-08-18 20:27:19",Dan,"It was baaaaaad and then again the other night ",outbound
"2026-08-18 20:27:37",Ally,"End fight is crazy ",inbound
"2026-08-18 20:27:55",Dan,"Does it say how weird I was being ",outbound
"2026-08-18 20:28:05",Dan,"I started talking about Israel",outbound
"2026-08-18 20:28:29",Ally,"I didn’t read I’m just saying in general ",inbound
"2026-08-18 20:28:53",Dan,"That’s probably the only article worth reading. A real hinge moment ",outbound
"2026-08-18 20:29:03",Ally,"Link ",inbound
"2026-08-18 20:32:05",Dan,https://caakehorn.github.io/wiki-brain/wiki/people/tuquick-17248123683.html,outbound
"2026-08-18 20:32:05",Dan,"Go to ‘role in the end fight’",outbound
"2026-08-18 20:32:18",Dan,"The article for that event needs to be rewritten q",outbound
"2026-08-18 20:32:27",Dan,"But it makes sense on that page ",outbound
"2026-08-18 20:33:39",Ally,"￼This guy?? ",inbound
"2026-08-18 20:34:03",Dan,"Not sure haven’t looked don’t care pass no thanks ",outbound
"2026-08-18 20:34:22",Dan,"I only looked the name up when he started sending me texts of my address lol",outbound
"2026-08-18 20:34:27",Dan,"I was just like ",outbound
"2026-08-18 20:34:32",Dan,"What the fuck did I even do lol",outbound
"2026-08-18 20:34:40",Dan,"Who are you?",outbound
"2026-08-18 20:36:30",Dan,"All I can say is that visual doesn’t really align with the voice I heard on the phone",outbound
"2026-08-18 20:36:50",Dan," But she only dated black dudes before me so it wouldn’t be too out of pocket for her ",outbound
"2026-08-18 20:43:50",Dan,"￼",outbound
"2026-08-18 20:50:52",Ally,https://caakehorn.github.io/wiki-brain/wiki/people/bekah-fullem.html,inbound
"2026-08-18 20:50:53",Ally,"A broken record ",inbound
"2026-08-18 20:54:13",Ally,https://caakehorn.github.io/wiki-brain/wiki/people/shelbie-breakiron.html,inbound
"2026-08-18 21:00:38",Ally,"Men are so predictable ",inbound
"2026-08-18 21:06:47",Dan,"Haha oh come on how is that the reading you take away from this ",outbound
"2026-08-18 21:07:10",Ally,"Because hello ",inbound
"2026-08-18 21:07:10",Dan,"I feel like there’s very little here that says “this is a man” lol",outbound
"2026-08-18 21:07:13",Ally,"It’s true ",inbound
"2026-08-18 21:07:31",Dan,"I’m very romantic 🥰 ",outbound
"2026-08-18 21:07:43",Ally,"You just love bomb ",inbound
"2026-08-18 21:07:47",Ally,"And you’re intense ",inbound
"2026-08-18 21:08:16",Dan,"But love bomb is like a malicious tactic and there very little malice ",outbound
"2026-08-18 21:08:25",Ally,"I didn’t say malicious ",inbound
"2026-08-18 21:09:11",Dan,"Okay that’s fair then",outbound
"2026-08-18 21:09:19",Ally,"Also there’s no proof you ever sent me $2100 except your word",inbound
"2026-08-18 21:09:21",Ally,"So I contest ",inbound
"2026-08-18 21:09:26",Dan,"Oh yes there is",outbound
"2026-08-18 21:09:38",Ally,"And then I see you buying other bitches laptops! ",inbound
"2026-08-18 21:09:41",Ally,"I’m not even special ",inbound
"2026-08-18 21:09:50",Ally,"You’ve had a secret crush on everyone ",inbound
"2026-08-18 21:09:55",Dan,"Excuse me but ",outbound
"2026-08-18 21:09:57",Ally,"And you want to see everyone’s boobs ",inbound
"2026-08-18 21:10:07",Dan,"That was a refurbished laptop that cost $500 lol",outbound
"2026-08-18 21:10:20",Dan,"So you actually beat out the tattoo model by several orders of magnitude ",outbound
"2026-08-18 21:10:27",Ally,"I’m a girl and I don’t know these things and honestly it’s none of my concern ",inbound
"2026-08-18 21:10:48",Ally,"I performed surgery on a tv all day on Sunday before I threw it in a closet",inbound
"2026-08-18 21:10:58",Ally,"Wow and I’m not a tattoo model? ",inbound
"2026-08-18 21:11:36",Dan,"Ugh hold on let me get it out ",outbound
"2026-08-18 21:12:46",Dan,"￼",outbound
"2026-08-18 21:12:51",Dan,"She was a tattoo model lol",outbound
"2026-08-18 21:13:31",Ally,"And so am I ",inbound
"2026-08-18 21:14:02",Dan,"￼",outbound
"2026-08-18 21:14:03",Dan,"Who said otherwise?????",outbound
"2026-08-18 21:14:21",Dan,"You are SO much more than a tattoo model ",outbound
"2026-08-18 21:14:28",Dan,"You’re an early adopter twitter girl",outbound
"2026-08-18 21:14:42",Dan,"That’s infinitely higher up the food chain",outbound
"2026-08-18 21:18:51",Dan,"Listen you can call me a love bomber all you want I will find my Cassie from series 1 skins someday",outbound
"2026-08-18 21:21:28",Dan,"Speaking of which I could tell you everything you need to know about Annie by telling you she’s like half effy and half Georgina from gossip girl",outbound
"2026-08-18 21:21:47",Dan,"Just the worlds most toxic combo",outbound
"2026-08-18 21:25:00",Ally,"Ok wait I remember this girl ",inbound
"2026-08-18 21:25:21",Ally,"I don’t think she’s half Effy bc I’m Effy ",inbound
"2026-08-18 21:25:42",Dan,"You are not effy you are such a nips",outbound
"2026-08-18 21:25:47",Ally,"Let’s be real has she even seen Skins ",inbound
"2026-08-18 21:26:01",Ally,"That’s so mean I was about to call Annie nips ",inbound
"2026-08-18 21:26:05",Ally,"Ew ",inbound
"2026-08-18 21:26:20",Ally,"I’m so Effy and Freddie even slid into my DMs once ",inbound
"2026-08-18 21:26:23",Dan,"Yes but to be fair that’s only because I insist on watching it like once every two years I love it I will never stop loving it ",outbound
"2026-08-18 21:26:43",Ally,"￼",inbound
"2026-08-18 21:26:58",Ally,"I can’t believe you called me nips ",inbound
"2026-08-18 21:27:09",Dan,"That’s like the BEST compliment ",outbound
"2026-08-18 21:27:14",Ally,"That’s blockable behavior!!! ",inbound
"2026-08-18 21:27:16",Dan,"She was the only pure one ",outbound
"2026-08-18 21:27:29",Dan,"She EVEN GAVE SYD A CHANCE",outbound
"2026-08-18 21:27:29",Ally,"Plus I have inverted nipples ",inbound
"2026-08-18 21:27:35",Ally,"It’s just not even true ",inbound
"2026-08-18 21:27:54",Ally,"Annie wasn’t smart enough to be Effy ",inbound
"2026-08-18 21:28:00",Dan,"You don’t think you would be a Cassie ",outbound
"2026-08-18 21:28:04",Dan,"If you aren’t a Michelle",outbound
"2026-08-18 21:28:13",Ally,"Well first of all I’m not a Michelle ",inbound
"2026-08-18 21:28:18",Ally,"I’m a half Effy half Cassie ",inbound
"2026-08-18 21:28:35",Dan,"Also PLEASE dont ever tell me you’re not a millennial again as you dissect the nuance of the skins series 1 cast ",outbound
"2026-08-18 21:28:50",Ally,"I’m not I’m Gen Z ",inbound
"2026-08-18 21:29:06",Ally,"I’m just 19 ",inbound
"2026-08-18 21:29:24",Dan,"Okay I can be in charlotte by like 2:30 if I don’t make any stops",outbound
"2026-08-18 21:29:52",Dan,"I don’t know if there’s a 24 hour Las Vegas style drive through marriage place nearby but ",outbound
"2026-08-18 21:30:12",Ally,"It’s cute you think that after the nips comparison",inbound
"2026-08-18 21:30:15",Ally,"I’m genuinely upset ",inbound
"2026-08-18 21:30:34",Ally,"You might as well have said Panda ",inbound
"2026-08-18 21:31:25",Dan,"Hahaha what are you TALKING about nips is like the only one you would want to marry on the whole cast ",outbound
"2026-08-18 21:31:40",Ally,"And no one wants to marry me!!!! ",inbound
"2026-08-18 21:31:41",Dan,"Except the girl with the rapper dad",outbound
"2026-08-18 21:31:49",Ally,"I’m inherently evil and unlovable ",inbound
"2026-08-18 21:31:56",Ally,"And president of the boy smashing factory ",inbound
"2026-08-18 21:32:40",Dan,"You just miss what your best qualities are by 180°",outbound
"2026-08-18 21:32:57",Dan,"And not to get too meta but ",outbound
"2026-08-18 21:33:08",Ally,"Other girls can manipulate two men into giving them free drugs and my dad won’t even meet me for coffee when I’m in the same state as him and 20 minutes north for the first time in 4 years ",inbound
"2026-08-18 21:33:31",Dan,"“Boy smashing factory” is precisely the reason you are appealing like ",outbound
"2026-08-18 21:33:35",Dan,"You have the good brain",outbound
"2026-08-18 21:33:45",Ally,"I’m surprised I haven’t ruined it yet ",inbound
"2026-08-18 21:33:45",Dan,"But not like a STEM good brain",outbound
"2026-08-18 21:33:53",Dan,"You have cool girl goodbrain ",outbound
"2026-08-18 21:33:55",Ally,"I work in STEM actually ",inbound
"2026-08-18 21:33:58",Ally,"Women in STEM",inbound
"2026-08-18 21:34:02",Dan,"Aka early twitter adopter ",outbound
"2026-08-18 21:34:05",Ally,"I’m not a cool girl anymore ",inbound
"2026-08-18 21:34:15",Ally,"I’m in my mid TO LATE thirties ",inbound
"2026-08-18 21:34:24",Dan,"Hear me out okay",outbound
"2026-08-18 21:34:32",Dan,"What if there is no such thing anymore ",outbound
"2026-08-18 21:34:38",Dan,"Because monoculture is dead ",outbound
"2026-08-18 21:34:49",Ally,"Ok well first of all there always is some sort of concept of time ",inbound
"2026-08-18 21:35:07",Ally,"And second of all I spent the best and most beautiful years of my life hating myself ",inbound
"2026-08-18 21:35:14",Ally,"And I’ll never get them back ",inbound
"2026-08-18 21:35:20",Ally,"And I’ll never be this young again ",inbound
"2026-08-18 21:35:23",Dan,"What used to be legitimately cool now only exists as a marketing strategy",outbound
"2026-08-18 21:35:51",Dan,"Yeah listen cry me a river im in the same fucking boat and you made it higher up that mountain than I did ",outbound
"2026-08-18 21:36:48",Dan,"So now we just have to become AI accelerationists and hope that it all collapses",outbound
"2026-08-18 21:36:52",Ally,"Yeah and I work my ass off and my parents hate me lol ",inbound
"2026-08-18 21:36:59",Ally,"I had to ",inbound
"2026-08-18 21:37:23",Dan,"Oh wait I thought you were discussing your cool factor ",outbound
"2026-08-18 21:37:36",Dan,"Because there’s nothing cooler than not working, that’s why I’ve done so much of it ",outbound
"2026-08-18 21:38:16",Dan,"Well still that’s even worse you’ve got plenty of professional accomplishments to tell your parents to eat shit with",outbound
"2026-08-18 21:38:23",Dan,"Wait wait wait im sorry is this not the same girl ",outbound
"2026-08-18 21:38:30",Dan,"That I stole the boat picture from ",outbound
"2026-08-18 21:39:08",Ally,"What boat picture ",inbound
"2026-08-18 21:39:12",Ally,"(I think I know) ",inbound
"2026-08-18 21:39:16",Ally,"My fb header? ",inbound
"2026-08-18 21:39:29",Dan,"￼",outbound
"2026-08-18 21:39:32",Ally,"Idk I’m just tired ",inbound
"2026-08-18 21:39:40",Ally,"Yup and fuck Bob ",inbound
"2026-08-18 21:40:11",Ally,"I’ve told him he’s the lowest form of mammal and multiple times ",inbound
"2026-08-18 21:40:20",Dan,"What happened",outbound
"2026-08-18 21:40:24",Dan,"Or just…life",outbound
"2026-08-18 21:41:05",Ally,"He just hates me because I look like my mom and she had an affair and fucked her boss in 1998 right before their 10 year anniversary so they got divorced ",inbound
"2026-08-18 21:41:11",Ally,"Like hello? That’s your fault idiot ",inbound
"2026-08-18 21:41:41",Ally,"I look like my mom but I’m smart and mean like him and I have zero respect for him so he goes nuts ",inbound
"2026-08-18 21:41:51",Ally,"He can’t control me in any way ",inbound
"2026-08-18 21:42:21",Ally,"I am my fathers oldest son and I fought the wall and the wall won ",inbound
"2026-08-18 22:40:14",Dan,"Do you guys speak at all",outbound
"2026-08-18 22:40:25",Dan,"Why do I know you’re already asleep ",outbound
"2026-08-18 22:40:43",Dan,"I love you ",outbound
"2026-08-18 22:41:49",Dan,"Also what is the dynamic with your brother? Does he get along with you and or your dad",outbound
"2026-08-18 22:44:47",Dan,"￼You missed the best evidence for your theory btw",outbound
"2026-08-18 22:48:33",Dan,"She said “te quiero” to me and I didn’t know that this was the non serious way to say I love you in Spanish and that it isnt the same thing as “te amo”",outbound
"2026-08-18 22:48:49",Dan,"And I made quiteeeee the fool of myself",outbound
"2026-08-18 22:49:24",Dan,"We did make out in Central Park and it was such a great New York moment ",outbound
"2026-08-18 22:49:40",Dan,"She was obviously like 10 years too young for me though lol",outbound
"2026-08-18 22:52:20",Dan,"￼Her mom is the “plastic surgery queen of Chile” and is like an actual horror movie monster ",outbound
"2026-08-18 22:54:23",Dan,"But that was probably my most obnoxious love bomb of all time and also the most malicious",outbound
"2026-08-18 22:55:04",Dan,"Plus she’s a series 3/4 character for sure and I don’t know those seasons",outbound
"2026-08-18 22:55:35",Dan,"I absolutely treasure those nyc moments like that",outbound
