date,time,datetime,direction,text,service,is_read,date_read,has_attachment,message_id
2026-01-04,14:10:49,2026-01-04 14:10:49,Received,But she was going to get it I said I wouldn’t ,iMessage,Yes,2026-01-04 14:10:53,No,199186
2026-01-04,14:10:51,2026-01-04 14:10:51,Received,Would,iMessage,Yes,2026-01-04 14:10:53,No,199187
2026-01-04,14:11:15,2026-01-04 14:11:15,Sent,I don’t understand but you smart girl,iMessage,No,,No,199188
2026-01-04,14:11:16,2026-01-04 14:11:16,Received,￼,iMessage,Yes,2026-01-04 14:11:15,Yes,199189
2026-01-04,14:11:42,2026-01-04 14:11:42,Sent,tell her just to put it towards late,iMessage,No,,No,199190
2026-01-04,14:11:51,2026-01-04 14:11:51,Received,Okay ,iMessage,Yes,2026-01-04 14:11:49,No,199191
2026-01-04,14:11:54,2026-01-04 14:11:54,Sent,I said that to her about the cigaret,iMessage,No,,No,199192
2026-01-04,14:32:15,2026-01-04 14:32:15,Received,Leaving shopnsave ,iMessage,Yes,2026-01-04 14:39:58,No,199193
2026-01-04,14:32:25,2026-01-04 14:32:25,Received,I ended up getting her wings too ,iMessage,Yes,2026-01-04 14:39:58,No,199194
2026-01-04,14:32:45,2026-01-04 14:32:45,Received,So that was $17. Wine was $13,iMessage,Yes,2026-01-04 14:39:58,No,199195
2026-01-04,14:32:49,2026-01-04 14:32:49,Received,Plus cigs,iMessage,Yes,2026-01-04 14:39:58,No,199196
2026-01-04,14:32:53,2026-01-04 14:32:53,Received,You do the math i dont know lol,iMessage,Yes,2026-01-04 14:39:58,No,199197
2026-01-04,18:26:24,2026-01-04 18:26:24,Sent,I’m sorry I didn’t mean to overwhelm you or freak you out,iMessage,No,,No,199198
2026-01-04,18:26:53,2026-01-04 18:26:53,Sent,"And I just want you to do what you think is best, I know I kinda suck at this stuff",iMessage,No,,No,199199
2026-01-04,18:26:55,2026-01-04 18:26:55,Received,It’s fine ,iMessage,Yes,2026-01-04 18:26:55,No,199200
2026-01-04,18:27:17,2026-01-04 18:27:17,Sent,....I was trying to help thats all,iMessage,No,,No,199201
2026-01-04,18:28:01,2026-01-04 18:28:01,Sent,Did you make it home,iMessage,No,,No,199202
2026-01-04,18:28:09,2026-01-04 18:28:09,Received,Yeah,iMessage,Yes,2026-01-04 18:28:09,No,199203
2026-01-04,18:28:52,2026-01-04 18:28:52,Sent,alright well I don’t want to bother you. I hope nothing else is wrong,iMessage,No,,No,199204
2026-01-04,18:29:06,2026-01-04 18:29:06,Sent,And if you need anything or if I can help you let me know,iMessage,No,,No,199205
2026-01-04,18:29:35,2026-01-04 18:29:35,Sent,…okay?,iMessage,No,,No,199206
2026-01-04,18:52:58,2026-01-04 18:52:58,Sent,what the fuck is going on,iMessage,No,,No,199207
2026-01-04,18:53:09,2026-01-04 18:53:09,Sent,where are you,iMessage,No,,No,199208
2026-01-04,18:58:05,2026-01-04 18:58:05,Sent,"you know what, I don’t even need to ask ",iMessage,No,,No,199209
2026-01-04,18:59:37,2026-01-04 18:59:37,Sent,you won’t tell me and what difference do the specifics make when I know the basic answer,iMessage,No,,No,199210
2026-01-04,19:16:05,2026-01-04 19:16:05,Sent,Well I don’t know where you are but I know now where you are not. ,iMessage,No,,No,199211
2026-01-04,19:23:59,2026-01-04 19:23:59,Sent,I hope you have a wonderful night and wish that you weren’t okay and ready to just throw away the person who knows and loves and appreciates you more than anyone else ever will or could. ,iMessage,No,,No,199212
2026-01-04,19:51:35,2026-01-04 19:51:35,Sent,goodbye,iMessage,No,,No,199213
2026-01-04,20:04:07,2026-01-04 20:04:07,Sent,Oh and thanks for letting me hear from my mom that you hadn’t really gone home and what you called her for,iMessage,No,,No,199214
2026-01-04,20:04:23,2026-01-04 20:04:23,Received,wtf ,iMessage,Yes,2026-01-04 20:04:30,No,199215
2026-01-04,20:04:25,2026-01-04 20:04:25,Received,Got it. ,iMessage,Yes,2026-01-04 20:04:30,No,199216
2026-01-04,20:04:36,2026-01-04 20:04:36,Received,I was confirming WITH MY PARENTS ,iMessage,Yes,2026-01-04 20:04:37,No,199217
2026-01-04,20:15:24,2026-01-04 20:15:24,Sent,I’ll talk to you tomorrow I’m going to keep my mouth shut for a change,iMessage,No,,No,199218
2026-01-04,21:08:32,2026-01-04 21:08:32,Sent,it gets real easy to see your true colors and how you actually feel about me and us when this stuff happens. It is the worst feeling.  I’m not that stupid annie. ,iMessage,No,,No,199219
2026-01-04,21:54:18,2026-01-04 21:54:18,Sent,you've made it clear you aren’t worried about us and are ready to disengage. I will stop bothering you from now on.  All I wanted was honestyfrom you   ,iMessage,No,,No,199220
2026-01-04,23:19:20,2026-01-04 23:19:20,Sent,How do you think it felt to have to admit that I couldn’t tell her nything else  about what happenedbecause you had nothing to say to me because you chose to just disappeared completely.,iMessage,No,,No,199221
2026-01-05,12:32:53,2026-01-05 12:32:53,Received,Well good morning. I know you’re mad at me. ,iMessage,Yes,2026-01-05 12:41:19,No,199226
2026-01-05,12:43:29,2026-01-05 12:43:29,Sent,Ok I’m glad you know.,iMessage,No,,No,199227
2026-01-05,13:01:07,2026-01-05 13:01:07,Sent,if you want something tell me now - the oder is going ,iMessage,No,,No,199228
2026-01-05,13:01:44,2026-01-05 13:01:44,Received,I am at sugies and going to get a check in a few ,iMessage,Yes,2026-01-05 13:06:07,No,199229
2026-01-05,13:26:04,2026-01-05 13:26:04,Sent,K I guess you’ll wait and see him later or tom,iMessage,No,,No,199230
2026-01-05,13:26:12,2026-01-05 13:26:12,Received,I have 100,iMessage,Yes,2026-01-05 13:26:12,No,199231
2026-01-05,13:26:30,2026-01-05 13:26:30,Received,Putting her down for nap then going to the bank,iMessage,Yes,2026-01-05 13:26:29,No,199232
2026-01-05,13:37:32,2026-01-05 13:37:32,Received,Going now ,iMessage,Yes,2026-01-05 14:58:14,No,199233
2026-01-05,14:57:25,2026-01-05 14:57:25,Received,Have you heard anything ,iMessage,Yes,2026-01-05 14:58:14,No,199234
2026-01-05,14:58:32,2026-01-05 14:58:32,Sent,will let you know when i do,iMessage,No,,No,199235
2026-01-05,15:18:17,2026-01-05 15:18:17,Received,Can i just come ,iMessage,Yes,2026-01-05 15:24:08,No,199236
2026-01-05,15:23:56,2026-01-05 15:23:56,Received,I’m going to get gas. Do you want an orange drink ,iMessage,Yes,2026-01-05 15:24:08,No,199237
2026-01-05,15:24:22,2026-01-05 15:24:22,Sent,Yes you can come,iMessage,No,,No,199238
2026-01-05,15:24:46,2026-01-05 15:24:46,Sent,cigarettes please. doesn't matter which but mentho,iMessage,No,,No,199239
2026-01-05,15:25:14,2026-01-05 15:25:14,Sent,Or the strongest zen if you think that’s less gross,iMessage,No,,No,199240
2026-01-05,15:25:27,2026-01-05 15:25:27,Received,You mean zyn,iMessage,Yes,2026-01-05 15:25:28,No,199241
2026-01-05,15:29:18,2026-01-05 15:29:18,Sent,"thats what I typed, it autocorrected",iMessage,No,,No,199242
2026-01-05,15:30:37,2026-01-05 15:30:37,Sent,It’s pretty cheap…maybe  SIX-SEVEN dollars,iMessage,No,,No,199243
2026-01-05,15:32:37,2026-01-05 15:32:37,Received,Omg ,iMessage,Yes,2026-01-05 15:50:11,No,199244
2026-01-05,15:36:33,2026-01-05 15:36:33,Received,Just for that horrible joke you’re getting cigarettes lol,iMessage,Yes,2026-01-05 15:50:11,No,199245
2026-01-05,15:36:44,2026-01-05 15:36:44,Received,Trying to be all young and hip,iMessage,Yes,2026-01-05 15:50:11,No,199246
2026-01-05,16:49:44,2026-01-05 16:49:44,Sent,I don’t know if you’re coming back or not but just to be clear I still feel sick to my stomach and you don’t seem to have any interest in helping to resolve or explain anything so idk what I’m supposed to think or do but it feels hard to ignore the message you were sending..intenitonlly or no,iMessage,No,,No,199247
2026-01-05,16:54:35,2026-01-05 16:54:35,Sent,If you could put yourself in my position for one minute and try to see that you didn’t even try to give me any reason to believe you and how many things you’ve said recently that just seem like you do not think that cheating is a problem or big deal at all ,iMessage,No,,No,199248
2026-01-05,17:02:12,2026-01-05 17:02:12,Sent,…the thing that really hurts more than anything is you STILL not just trusting me enough and seeing me as the person you are closest with enough to just let me see the real you. You know that you are the love of my life and I have always forgiven you,iMessage,No,,No,199249
2026-01-05,17:13:18,2026-01-05 17:13:18,Sent,alright annie that's real nice,iMessage,No,,No,199250
2026-01-05,17:16:17,2026-01-05 17:16:17,Sent,I had a feeling you would go back to being like thisbefore too long,iMessage,No,,No,199251
2026-01-05,17:17:41,2026-01-05 17:17:41,Sent,Hit was nice to have you back while it lasted. I really missd that.,iMessage,No,,No,199252
2026-01-05,17:24:07,2026-01-05 17:24:07,Sent,wtf is your problem? Did I do something to you?? ,iMessage,No,,No,199253
2026-01-05,17:24:21,2026-01-05 17:24:21,Received,I was cutting Otto’s hair Dan ,iMessage,Yes,2026-01-05 17:32:03,No,199254
2026-01-05,17:32:28,2026-01-05 17:32:28,Sent,….wow. uh ok,iMessage,No,,No,199255
2026-01-05,17:35:41,2026-01-05 17:35:41,Sent,message recieved…again I gues,iMessage,No,,No,199256
2026-01-05,17:35:56,2026-01-05 17:35:56,Sent,i'll stop bothering you. ,iMessage,No,,No,199257
2026-01-05,17:47:18,2026-01-05 17:47:18,Sent,you know you’re being really shitty to me and you know that you are making it obvious that i don’t matter to you when it matters most. just because you’re not angry doesn’t mean you’re not being rude as fuck ,iMessage,No,,No,199258
2026-01-05,18:10:42,2026-01-05 18:10:42,Sent,Nice.   So am I just supposed to figure this all out myself? I have a pretty good idea of where to start,iMessage,No,,No,199259
2026-01-05,18:30:54,2026-01-05 18:30:54,Sent,Okay I’m done being treated like this,iMessage,No,,No,199260
2026-01-05,18:34:33,2026-01-05 18:34:33,Sent,i’ll get some answers either way,iMessage,No,,No,199261
2026-01-05,18:48:18,2026-01-05 18:48:18,Sent,What the fuck did I do to you why are you ignoring ,iMessage,No,,No,199262
2026-01-05,19:13:53,2026-01-05 19:13:53,Sent,Okay I guess you’re done with me? Idk what else to interpret from th e last 24 hours ,iMessage,No,,No,199264
2026-01-05,19:16:57,2026-01-05 19:16:57,Sent,This was incredibly awful and really terrible way to erase me…again.  i am trying to not let you cause me to crash out any more than I have,iMessage,No,,No,199265
2026-01-05,19:35:55,2026-01-05 19:35:55,Sent,you have had so many opportunities to end this without making me feel even worse and more traumatized by being betrayed over and over again,iMessage,No,,No,199266
2026-01-05,19:37:14,2026-01-05 19:37:14,Sent,Omg this Is fUCKING SO EMBARASSING,iMessage,No,,No,199267
2026-01-05,19:37:57,2026-01-05 19:37:57,Sent,i look so fucking stupid because I’ve believed you and this is what happened ,iMessage,No,,No,199268
2026-01-05,19:41:59,2026-01-05 19:41:59,Sent,You’re busy telling your parents and I need to cut myself off so I’m blocking for the time being,iMessage,No,,No,199269
2026-01-05,19:44:29,2026-01-05 19:44:29,Sent,I’ll go see if you’re telling them and are home or maybe Belmont circle or just lying so I’ll talk to you tomorrow maybe,iMessage,No,,No,199270
2026-01-05,19:51:33,2026-01-05 19:51:33,Received,Yes Daniel I am at home. ,iMessage,Yes,2026-01-05 19:53:48,No,199271
2026-01-05,19:55:33,2026-01-05 19:55:33,Sent,well hope it went well and they aren’t too upset…probably not likely with how long it took,iMessage,No,,No,199272
2026-01-05,19:55:55,2026-01-05 19:55:55,Received,I didn’t fucking tell them yet. In telling my dad in the morning ,iMessage,Yes,2026-01-05 19:55:54,No,199273
2026-01-05,19:57:12,2026-01-05 19:57:12,Sent,Thats nice be shitty to ME. I deserve even more of that,iMessage,No,,No,199274
2026-01-05,19:59:16,2026-01-05 19:59:16,Sent,i just want to know what I did or what caused this? It’s hard to accept as I am legitimately trying do things bettering differently,iMessage,No,,No,199275
2026-01-05,20:01:26,2026-01-05 20:01:26,Sent,Like it would not feel so shittyif I was not taking this seriously. I am not okay just suddenly being discarded like this,iMessage,No,,No,199276
2026-01-05,20:10:11,2026-01-05 20:10:11,Sent,Thats fine. You are done and have nothing say. You dont care if I look into what was really going on and see if my theory is correct.,iMessage,No,,No,199277
2026-01-05,20:10:30,2026-01-05 20:10:30,Received,Would you please just calm down ,iMessage,Yes,2026-01-05 20:10:29,No,199278
2026-01-05,20:11:54,2026-01-05 20:11:54,Sent,Why? What for? Look at how youre acting,iMessage,No,,No,199279
2026-01-05,20:21:02,2026-01-05 20:21:02,Sent,anything else you want to say? This is making me sick to my stomach and I am not going to just do nothing this time,iMessage,No,,No,199280
2026-01-05,20:24:20,2026-01-05 20:24:20,Sent,…annie I trusted you and tried everything I could to show you I would put in the effort,iMessage,No,,No,199281
2026-01-05,20:25:49,2026-01-05 20:25:49,Sent,You feel right doing this?,iMessage,No,,No,199282
2026-01-05,20:31:03,2026-01-05 20:31:03,Received,IM NOT DOING ANYTHING ,iMessage,Yes,2026-01-05 20:37:54,No,199283
2026-01-05,20:39:12,2026-01-05 20:39:12,Sent,If nothing else you’ve ignored me for the past 24 hours while I have been unable get any kind of explanation from you BUT,iMessage,No,,No,199284
2026-01-05,20:41:27,2026-01-05 20:41:27,Sent,It’s so crazy to think that you can make the call you did to my mom last night and then refuse to explain what that was about - and why you would need to hang up the second she answered your question…did your parents not find that extremely rude and unusual?,iMessage,No,,No,199285
2026-01-05,20:54:43,2026-01-05 20:54:43,Sent,cool well,iMessage,No,,No,199286
2026-01-05,20:56:05,2026-01-05 20:56:05,Sent,Don’t worry I won’t say your name specifically and am sending from a spoofed number to remain anonymous,iMessage,No,,No,199287
2026-01-05,20:56:14,2026-01-05 20:56:14,Received,Please Dan. Just stop ,iMessage,Yes,2026-01-05 20:56:13,No,199288
2026-01-05,20:56:47,2026-01-05 20:56:47,Sent,no I mean that part I am doing but I will stop annoying you,iMessage,No,,No,199289
2026-01-05,20:57:44,2026-01-05 20:57:44,Sent,I have nothing to lose and plenty to gain from sharing a few pieces of infomation ,iMessage,No,,No,199290
2026-01-05,20:57:59,2026-01-05 20:57:59,Received,Seriously Dan?,iMessage,Yes,2026-01-05 20:57:58,No,199291
2026-01-05,21:04:23,2026-01-05 21:04:23,Sent,you don’t even know waht im talking about ,iMessage,No,,No,199292
2026-01-05,21:04:26,2026-01-05 21:04:26,Received,Why. Just why ,iMessage,Yes,2026-01-05 21:04:26,No,199293
2026-01-05,21:04:45,2026-01-05 21:04:45,Sent,Why what?,iMessage,No,,No,199294
2026-01-05,21:07:50,2026-01-05 21:07:50,Sent,...strange,iMessage,No,,No,199295
2026-01-05,21:07:56,2026-01-05 21:07:56,Sent,…interesting,iMessage,No,,No,199296
2026-01-05,21:08:26,2026-01-05 21:08:26,Sent,you’re very concerned about something you don’t have any involvement in,iMessage,No,,No,199297
2026-01-05,21:09:14,2026-01-05 21:09:14,Received,Im concerned bc why would you stoop to that level ,iMessage,Yes,2026-01-05 21:10:21,No,199298
2026-01-05,21:10:46,2026-01-05 21:10:46,Sent,You do not see my position right now ATALL ,iMessage,No,,No,199299
2026-01-05,21:10:54,2026-01-05 21:10:54,Received,You’re right ,iMessage,Yes,2026-01-05 21:10:54,No,199300
2026-01-05,21:12:07,2026-01-05 21:12:07,Sent,...annie you won’t say anything to me about MY feelings ,iMessage,No,,No,199301
2026-01-05,21:12:30,2026-01-05 21:12:30,Sent,now you’re worried about the feelings of someone you (supposedly) have no idea who I am even talking about,iMessage,No,,No,199302
2026-01-05,21:13:09,2026-01-05 21:13:09,Sent,You can leave me alone until the real you shows up again,iMessage,No,,No,199303
2026-01-05,21:13:44,2026-01-05 21:13:44,Sent,Have no fucking clue what makes you decide to erase me without warning or reason,iMessage,No,,No,199304
2026-01-05,21:14:03,2026-01-05 21:14:03,Received,I do care about your feelings and how you feel is completely valid Dan ,iMessage,Yes,2026-01-05 21:14:03,No,199305
2026-01-05,21:16:55,2026-01-05 21:16:55,Sent,…but you’ve got nothing else to say…,iMessage,No,,No,199306
2026-01-05,21:18:00,2026-01-05 21:18:00,Sent,Whether explaining what the fuck happened so that I could see thatyouo’re not just lying,iMessage,No,,No,199307
2026-01-05,21:25:46,2026-01-05 21:25:46,Sent,"well I am, for once, able to decide that I’m not just going to back down and let someone else fuck my life up and not pay them back. If they’re not doing anything wrong then there’s no harm in raising awareness to play attention ",iMessage,No,,No,199308
2026-01-05,21:31:04,2026-01-05 21:31:04,Received,Do you understand how scared and stressed I am over telling my parents? And what could possibly happen from my extremely stupid choice I made? I completely zoned and blacked out everything you and your mom were saying about it last night ,iMessage,Yes,2026-01-05 21:36:09,No,199309
2026-01-05,21:31:17,2026-01-05 21:31:17,Received,I am totally shutting down ,iMessage,Yes,2026-01-05 21:36:09,No,199310
2026-01-05,21:31:51,2026-01-05 21:31:51,Received,And I 100% own up to being in this position ,iMessage,Yes,2026-01-05 21:36:09,No,199311
2026-01-05,21:37:07,2026-01-05 21:37:07,Sent,okay well I don’t have any idea what that has to do with this or why you won’t explain whathappenem last night,iMessage,No,,No,199312
2026-01-05,21:37:32,2026-01-05 21:37:32,Sent,And you KNOW I am the first person to support you emotionally and mentally,iMessage,No,,No,199313
2026-01-05,21:38:10,2026-01-05 21:38:10,Sent,But I am quite confident that you would have cleared this up right away if you weren’t lying to me,iMessage,No,,No,199314
2026-01-05,21:41:15,2026-01-05 21:41:15,Sent,and then you just ignore me with no explanation and leave me to try to understand without any input.   you don’t act like this is the most serious and destructive thing you can do to someone in a relationship and I’ve already had to move on from going through it before without any suooirt or explanation.,iMessage,No,,No,199315
2026-01-05,21:45:32,2026-01-05 21:45:32,Sent,and the worst outcome for you is ARD which is the program they created to give people a slap on the wrist for their first arrest.  Yes your parents will be mad but you didn’t want to hear anything about how to mitigate that,iMessage,No,,No,199316
2026-01-05,21:51:18,2026-01-05 21:51:18,Sent,But I do not feel one bit bad about what I sent because it doesn’t punish someone who is innocent and because I am not going to save someone who would do that knowing that they need my discretion for several things ,iMessage,No,,No,199317
2026-01-05,21:54:22,2026-01-05 21:54:22,Received,Thanks ,iMessage,Yes,2026-01-05 21:59:24,No,199318
2026-01-05,21:59:32,2026-01-05 21:59:32,Sent,??,iMessage,No,,No,199319
2026-01-05,22:00:01,2026-01-05 22:00:01,Sent,You aren’t going to explain,iMessage,No,,No,199320
2026-01-05,22:00:19,2026-01-05 22:00:19,Sent,What happened?,iMessage,No,,No,199321
2026-01-05,22:00:30,2026-01-05 22:00:30,Sent,But want me to believe u? ,iMessage,No,,No,199322
2026-01-05,22:00:44,2026-01-05 22:00:44,Received,"The fact that you would even think about doing whatever it is, is so childish ",iMessage,Yes,2026-01-05 22:00:43,No,199323
2026-01-05,22:03:28,2026-01-05 22:03:28,Sent,Yeah see I wouldnt have even told you except to gauge how you reacted,iMessage,No,,No,199324
2026-01-05,22:04:44,2026-01-05 22:04:44,Sent,Do I need to explain why you IGNORING. My questioin and refusing gto explain anything but being very concerned about this would seem like there’s more to the story,iMessage,No,,No,199325
2026-01-05,22:06:01,2026-01-05 22:06:01,Sent,Ive made clear that there is absolutely no effect to you unless you are lying about it so,iMessage,No,,No,199326
2026-01-05,22:07:33,2026-01-05 22:07:33,Sent,You can say whatever you want but you are WAY more worried about something that shouldn’t ever impact you  than you are about how legitimately upset and hurt I am as you ignore and sidestep me ,iMessage,No,,No,199327
2026-01-05,22:08:00,2026-01-05 22:08:00,Sent,Why WHY why would you do that if you weren’t hiding something,iMessage,No,,No,199328
2026-01-05,22:08:02,2026-01-05 22:08:02,Received,I am concerned about you ,iMessage,Yes,2026-01-05 22:08:02,No,199329
2026-01-05,22:09:20,2026-01-05 22:09:20,Sent,so uh why don’t you tell me and I am not going to find bullshit reasons to not believe you,iMessage,No,,No,199330
2026-01-05,22:11:38,2026-01-05 22:11:38,Sent,Like - I have shown you that I HATE feeling like this and won’t just make up insincere reasons to doubt you,iMessage,No,,No,199331
2026-01-05,22:16:45,2026-01-05 22:16:45,Sent,…so you lied? Yes?  annie WHAT HAPPENED? Why did you go back to being so awful and disinterested?  I’ve tried SO hard to make youfeeel like I am trying tomato things better for you too,iMessage,No,,No,199332
2026-01-05,22:17:36,2026-01-05 22:17:36,Received,You have been trying Dan I never said you weren’t ,iMessage,Yes,2026-01-05 22:17:42,No,199333
2026-01-05,22:17:57,2026-01-05 22:17:57,Sent,omg did you seriously just ignore me again,iMessage,No,,No,199334
2026-01-05,22:18:04,2026-01-05 22:18:04,Received,No dan,iMessage,Yes,2026-01-05 22:18:05,No,199335
2026-01-05,22:19:27,2026-01-05 22:19:27,Sent,this is awful . The most painful possible way to do this … drip drip drip and let me marinade in the pain for as longas possiblle,iMessage,No,,No,199336
2026-01-05,22:20:08,2026-01-05 22:20:08,Received,I am not doing that ,iMessage,Yes,2026-01-05 22:20:20,No,199337
2026-01-05,22:20:57,2026-01-05 22:20:57,Sent,Okay well I have to assume you lied because otherwise you would probably be anxious to tell me what happened so I could believe you,iMessage,No,,No,199338
2026-01-05,22:21:20,2026-01-05 22:21:20,Received,NOTHING HAPPENED ,iMessage,Yes,2026-01-05 22:21:19,No,199339
2026-01-05,22:21:42,2026-01-05 22:21:42,Sent,…i’m sorry what kind of answeris that,iMessage,No,,No,199340
2026-01-05,22:22:57,2026-01-05 22:22:57,Sent,…so TELL ME WHAT HAPPENED? What is the big deal??,iMessage,No,,No,199341
2026-01-05,22:25:22,2026-01-05 22:25:22,Received,there is no big deal. You’re making it into a big deal ,iMessage,Yes,2026-01-05 22:25:37,No,199342
2026-01-05,22:26:41,2026-01-05 22:26:41,Sent,Do you think I would be doing that if you SAID WHAT HAPPENED?,iMessage,No,,No,199343
2026-01-05,22:27:06,2026-01-05 22:27:06,Sent,You are purposely not answering me,iMessage,No,,No,199344
2026-01-05,22:27:13,2026-01-05 22:27:13,Received,No dan ,iMessage,Yes,2026-01-05 22:27:12,No,199345
2026-01-05,22:27:15,2026-01-05 22:27:15,Received,I’m not ,iMessage,Yes,2026-01-05 22:27:16,No,199346
2026-01-05,22:27:31,2026-01-05 22:27:31,Sent,Saying things like “mnothing happened” which could mean several things ,iMessage,No,,No,199347
2026-01-05,22:28:05,2026-01-05 22:28:05,Sent,I promise you. I will drop it immediaelyif you just explain ,iMessage,No,,No,199348
2026-01-05,22:28:34,2026-01-05 22:28:34,Sent,You recognize that you have not done that? Its not like im asking things you have already answered.,iMessage,No,,No,199349
2026-01-05,22:29:20,2026-01-05 22:29:20,Received,I WAS COMPLETELY SHAKEN UP AND COULD NOT FUNCTION ,iMessage,Yes,2026-01-05 22:29:28,No,199350
2026-01-05,22:29:24,2026-01-05 22:29:24,Received,HOLY FUCK,iMessage,Yes,2026-01-05 22:29:28,No,199351
2026-01-05,22:29:46,2026-01-05 22:29:46,Sent,"what happened that caused your parents to not believe you? Why did you hang up rightafter she said ""yes"" who was that in the background? What did they think you were doing instead of being here?",iMessage,No,,No,199352
2026-01-05,22:30:35,2026-01-05 22:30:35,Sent,This is what I am talkinggg about - you are being obtuse on purpose. just explain what happened and I will shut the fuck  up,iMessage,No,,No,199353
2026-01-05,22:30:55,2026-01-05 22:30:55,Received,I’m not fucking being any way on purpose ,iMessage,Yes,2026-01-05 22:30:54,No,199354
2026-01-05,22:33:25,2026-01-05 22:33:25,Sent,alright annie I have given you everything in my heart and love you in a totally extraordinary way. I have found way to not let the multiple times you have betrayed me and lied to me ruin how I feel about you and I amonlyinteresed inmaking us bbetterand streonger,iMessage,No,,No,199355
2026-01-05,22:34:28,2026-01-05 22:34:28,Sent,"but this is fucked up and you are not being treated unfairly or unreasonably here. you refuse to tell me what happened,even after asking you directly like 10 times",iMessage,No,,No,199356
2026-01-05,22:35:39,2026-01-05 22:35:39,Sent,Who are you? Are you the person who is kind and caring and that I can not imagine being without?,iMessage,No,,No,199357
2026-01-05,22:38:09,2026-01-05 22:38:09,Received,Yes Dan ,iMessage,Yes,2026-01-05 22:38:10,No,199358
2026-01-05,22:38:18,2026-01-05 22:38:18,Sent,"Or are you this person? Who will act like they are owed my belief even though you aren’t even willing to tell me what I am supposed to believe happened? Who doesn’t REALLY feel love or care, but can wear those masks when it makes s",iMessage,No,,No,199359
2026-01-05,22:41:23,2026-01-05 22:41:23,Received,That is not who I am.. ,iMessage,Yes,2026-01-05 22:41:23,No,199360
2026-01-05,22:42:41,2026-01-05 22:42:41,Sent,seriously I didn’t want to say anything like this and have tried not to but….  Fuck you. We both know that I am asking you for the details of anent and you are not answering me because…….  ,iMessage,No,,No,199361
2026-01-05,22:57:36,2026-01-05 22:57:36,Sent,"good thing that the anonymous person overheard the conversation between their boyfriend and the person, and felt like they needed to alert the partner being kept in the dark without ruining any friendships snitching or looking bad if they aren’t doing those things after all.",iMessage,No,,No,199362
2026-01-05,22:59:43,2026-01-05 22:59:43,Sent,Wonder who it is? They have a 366 number so they must be someone who has kept their number for years and have Verizon. i cant figure it o,iMessage,No,,No,199363
