date,is_from_me,text
"2018-12-20 13:54:27",1,"How’s work"
"2018-12-20 13:54:37",0,"I had to take Sylvia to the vet because she hurt herself jumping literally by being chonky"
"2018-12-20 13:54:48",0,"Good I go to FL tomorrow and I can’t wait to not deal with ppl for a couple days"
"2018-12-20 13:55:41",1,"What fun. How long are you staying"
"2018-12-20 13:58:16",1,"I’m booking a room in nyc so I can go look for a place"
"2018-12-20 13:59:51",0,"Til the 26th"
"2018-12-20 13:59:55",0,"I need a tan "
"2018-12-20 14:09:45",1," So did you ever determine your mbti type?"
"2018-12-20 14:10:58",1,"Wtf do you need a tan for? Are you going to the school’s big spring fling formal dance"
"2018-12-20 14:13:53",1,"I mean I guess I’d rather be in Boca over north cackalacky too...but for the purposes of unnecessary humor I’m going to ignore that for now.

I’m high I should get some food lol"
"2018-12-20 14:54:14",0,"I told you! ENFP"
"2018-12-20 14:59:22",1,"Yeah but I just still don’t buy that you’re an extrovert"
"2018-12-20 14:59:42",1,"Unless I have some fundamental misunderstanding about who you are (which is possible)"
"2018-12-20 15:02:16",1,"Extrovert would mean that, at the end of a long day, or to ‘recharge’ or ‘reboot’ yourself...you need to be with other people.  "
"2018-12-20 15:03:22",0,"I mean I went to 3 different high schools and I’ve been client faxing forever "
"2018-12-20 15:03:56",0,"If you read the description it says we need alone time "
"2018-12-20 15:16:23",1,"Yuck enfp - stay away demon"
"2018-12-20 15:16:36",1,"￼"
"2018-12-20 15:16:37",1,"Dog model"
"2018-12-20 15:17:14",0,Pupreme
"2018-12-20 15:17:16",0,"I hate yüh"
"2018-12-20 15:17:27",1,:)
"2018-12-20 15:18:31",0,":’) "
"2018-12-20 15:18:34",0,"Calls me a demon "
"2018-12-20 15:18:42",0,"Robin Williams was ENFP"
"2018-12-20 15:19:33",1,https://twitter.com/danfrank/statuses/354916147268829184
"2018-12-20 15:19:44",1,"I just started going back over old tweets"
"2018-12-20 15:20:07",1,"Of enfp’s that have driven me to do crazy crazy things in my past"
"2018-12-20 15:21:08",0,"Omg 2013"
"2018-12-20 15:21:21",1,"It was the best of times
It was the worst of times"
"2018-12-20 15:23:09",1,"That was in the middle of some nonsense where I left a girlfriend to chase some enfp vixen but I was so enamored by her that she got freaked out and it crumbled "
"2018-12-20 15:23:16",1,"(Sound familiar?)"
"2018-12-20 15:36:54",1,"If you will indulge me for a minute while I get meta - idk why 90% of what I say to you, I wind up going “yeah I shouldn’t have said that at all” and wish I had remained silent lol"
"2018-12-20 15:40:42",0,"Hahaha why’s that "
"2018-12-20 15:43:13",0,"Also do you listen to the 1975 because I feel like you’d really like them"
"2018-12-20 16:06:33",1,"Idk why that is but it’s def not something I’m used to struggling with. Actually my wordsmith-ery is usually my only redeeming quality "
"2018-12-20 16:07:15",1,"And I haven’t heard. I guess since you listened to my book I’ll take your recommendation "
"2018-12-20 16:07:30",1,...begrudgingly...
"2025-03-16 20:16:36",1,"￼"
"2025-03-16 20:17:01",0,"True "
"2025-03-18 12:27:06",0,"Let me get $100"
"2025-11-17 10:36:12",0,"￼Lololol "
"2026-06-01 20:06:05",1,"My sweetness my love"
"2026-06-01 20:06:29",1,"Guess who suffered their first real like BRUTAL heartbreak "
"2026-06-01 20:07:04",1,"cheated on and then she had the dude message to inform me


11 years lmao"
"2026-06-01 20:08:24",1,"Ally I swear to god I won THE GUY over and he left her by the end because I convinced him she was lying about everything she said about me….and I was being super bizarre. I asked him if he was a zionist in the middle of the whole thing and his brain had to reboot from the weirdness"
"2026-06-01 20:10:06",1,"￼It was my finest moment lmao"
"2026-06-01 20:12:53",1,"more importantly when am I allowed to come try to marry on you because I need to go so far away this girl broke my entire brain and I am no longer a piece of shit scumbag who would cheat now so lets make haste"
"2026-06-01 20:13:59",1,"Oh god it was awful it felt like my liver got shot with a shell of buckshot "
"2026-06-01 20:15:02",1,"You should have told me a long time ago that cheating on people will make that other person feel like you’re falling into a collapsing supernova I hated it so much"
"2026-06-01 23:23:25",1,"Oh yeah she also decided to accuse me of an unspecified SA as her mechanism to virtue signal to this new guy that she had officially swapped teams. As you can see she’s such an idiot that even the guy she’s now dating told me he believe me while she was watching in the chat lmao"
"2026-08-18 13:46:48",1,"My love, my life…where are thee"
"2026-08-18 13:47:02",0,"Omg "
"2026-08-18 13:47:28",0,"Why do I have 2 numbers for you and an iCloud "
"2026-08-18 13:47:58",1,"Because I am the poster child of unreliable scumbag shitheads"
"2026-08-18 13:48:27",1,"Listen I am in complete isolation now it’s fucked "
"2026-08-18 13:48:29",0,"Ok PeteyxWentz"
"2026-08-18 13:48:51",1,"I bet EVERYTHING on that girl and she did me dirty so I am just "
"2026-08-18 13:49:01",1,"Building wiki’s of myself "
"2026-08-18 13:49:02",0,"I mean not to rub it in but what did you expect "
"2026-08-18 13:49:06",0,"She sounded awful "
"2026-08-18 13:49:19",0,"Wait so you guys are done done? "
"2026-08-18 13:49:42",1,"Yes but at that time I wanted basically the most promiscuous yet contained person I could find"
"2026-08-18 13:50:07",1,"It was not really a good “life decision”"
"2026-08-18 13:50:36",0,"Yeah you told me she did heroin and gang bangs "
"2026-08-18 13:51:29",1,"That’s a bit of an exaggeration but the spirit of it is correct"
"2026-08-18 13:52:48",1,"Listen just tell me legitimately what personal developments and prerequisites need to be met  for me to court you and inevitably marry you"
"2026-08-18 13:53:56",1,"Its the only timeline that makes sense "
"2026-08-18 13:54:24",0,"Ok yeah actually I am ready to settle down "
"2026-08-18 13:54:32",0,"Well first you’d have to be obsessed with me again "
"2026-08-18 13:54:45",0,"Secondly I don’t really know; the bar is on the floor these days "
"2026-08-18 13:55:38",1,"Omg this is incredible news "
"2026-08-18 13:55:55",1,"Do NOT tempt me "
"2026-08-18 13:56:48",1,"I have so many ideas already "
"2026-08-18 13:57:20",1,"I bet you’re a world class girlfriend"
"2026-08-18 13:57:22",0,"Are you still in NYC? "
"2026-08-18 13:57:45",0,"Well yeah I’m smart and hilarious and I have huge naturals "
"2026-08-18 14:00:17",1,"￼I am back in PA"
"2026-08-18 14:02:59",1,"And what are you doing "
"2026-08-18 14:03:18",1,"If im going to court you properly I need looped in"
"2026-08-18 14:24:21",0,"I’m working from home "
"2026-08-18 14:24:25",0,"I’m in Charlotte "
"2026-08-18 15:07:23",1,"Oh come on "
"2026-08-18 15:07:30",1,"More detail than THAT"
"2026-08-18 15:08:18",1,"How am I supposed to properly obsess when all I have is 

-works at home
-charlotte
-still unthinkably pretty"
"2026-08-18 15:08:49",1,"- cool factor maintained"
"2026-08-18 15:10:47",1,"￼Your page in the wiki is getting a big update. It hadn’t really gone through our messages yet"
"2026-08-18 15:11:55",1,"￼Lmao oh god"
"2026-08-18 15:49:14",0,"Hi hi sorry I was in a meeting "
"2026-08-18 15:49:39",0,"No way "
"2026-08-18 15:50:25",0,"A real time enclosure of Annie’s escort work with dates LOL"
"2026-08-18 15:58:11",0,"If someone ever archived my texts I’d kill myself "
"2026-08-18 16:03:52",1,"Yeah imagine not just archiving them but analyzing and then publishing them lol"
"2026-08-18 16:04:02",0,"No literally "
"2026-08-18 16:04:17",1,"it’s a wild thing to do and as far as I know, it hasn’t been done by anyone else yet"
"2026-08-18 16:04:18",0,"But like it’s impressive to love someone that much I guess "
"2026-08-18 16:04:34",1,"LMAO what do you mean? It’s about me not anyone else"
"2026-08-18 16:04:45",1,"I mean obviously the closer someone is to me the more they appear in the data but "
"2026-08-18 16:05:05",1,"It’s supposed to map my mind and how I think by looking at all of this raw data that I can’t skew with my bias"
"2026-08-18 16:05:46",1,"It’s still cranking out your new entry. It’s been analyzing and writing for almost 3 hours now"
"2026-08-18 16:06:10",1,"￼"
"2026-08-18 16:06:15",1,"It reverse engineered your birthday lol"
"2026-08-18 16:09:44",0,"You rage text like me "
"2026-08-18 16:10:09",1,"people HATE it. I try so hard but I can’t help it"
"2026-08-18 16:10:21",1,"I text in the same cadence I speak"
"2026-08-18 16:11:30",0,"I do too (usually) "
"2026-08-18 16:11:38",0,"Why am I scared for my entry "
"2026-08-18 16:20:00",1,"Listen you have nothing to fear in it - you’ve only ever been reasonable, tempered and surprisingly normal in these convos"
"2026-08-18 16:20:27",1,"It’s I who has been the absolute maniac and like…felt the need to broadcast it"
"2026-08-18 16:21:15",1,"Not to mention I saw it found 2014 google searches for ""ally Lubin model mayhem” “ally Lubin deviantart” (lmao) and “ally Lubin boca raton model” "
"2026-08-18 16:21:29",1,"proper creep shit"
"2026-08-18 16:24:22",1,"I have the first draft "
"2026-08-18 16:24:45",1,"￼We can read it together. I have absolutely no idea what it says in here so don’t blame me if it’s wild as fuck"
"2026-08-18 16:26:00",0,"Deviantart is crazy "
"2026-08-18 16:27:22",1,"Are we SURE I spoofed clandan’s number because I don’t even understand how that would have helped me lol"
"2026-08-18 16:28:06",1,"I mean it’s absolutely something I would have done so that’s a point against me but at the same time i hold out hope that it is hallucinating and misunderstood something "
"2026-08-18 16:28:09",0,"claim: ""Dan's first documented outbound contact after seve
ring the eleven-year relationship at 00:27:49 is not to family
 or to a friend but to Ally, nineteen hours later"
"2026-08-18 16:28:22",1,"Told ya"
"2026-08-18 16:29:26",1,"Bob Lubin making a cameo appearance in my wiki"
"2026-08-18 16:29:38",1,"Imagine trying to explain that lol"
"2026-08-18 16:34:57",0,"￼"
"2026-08-18 16:35:01",0,"I don’t even talk to my dad anymore lol "
"2026-08-18 16:35:48",1,"I am realizing as I read this 

A. This entire excersize is absolutely insane 

B. I should seek a therapist "
"2026-08-18 16:37:13",0,"It’s pretty good data to have "
"2026-08-18 16:37:18",0,"The summaries are accurate "
"2026-08-18 16:38:10",1,"Oh wow okay so the actual final draft is like 4x longer "
"2026-08-18 16:41:26",0,"I forgot you dated Alexis "
"2026-08-18 16:41:45",0,"I liked when it reminded me I lost my job and wanted to kill my self "
"2026-08-18 16:42:53",1,"Hey that was the only semi-redeeming part of the whole thing. It said i was mildly supportive or something lol

..but then it mentions that I was also still asking to see your, and I quote, “luscious tits”"
"2026-08-18 16:43:30",0,"Laughed at “Hey that was the only semi-redeeming part of the whole thing. It said i was mildly supportive or something lol

..but then it mentions that I was also still asking to see your, and I quote, “luscious tits””"
"2026-08-18 16:43:38",0,"Yeah I mean I’ve been objectified my entire life so "
"2026-08-18 16:43:41",0,"Nothing new there "
"2026-08-18 16:46:01",1,"Okay im going to push back on that one because I liked you for your cultural cache, taste and aesthetic SO long before I had even imagined the opportunity to ask to see your award-winning, best in show titties  "
"2026-08-18 16:46:46",1,"I did reverse objectification. You hooked me with your tweets and THEN I realized you were a baddie "
"2026-08-18 16:47:02",0,"Ok that’s fair actually "
"2026-08-18 16:48:58",1,"Yeah I mean, it’s probably not completely exoneration but we also know now that I was willing to pay $1050 per breast image and would still argue that was a great investment"
"2026-08-18 16:49:29",1,"10/10 would objectify again"
"2026-08-18 16:49:37",0,"I’m a SINGLE MOTHER"
"2026-08-18 16:49:46",0,"I def sent you more pics they just prob weren’t graphic nudes "
"2026-08-18 16:49:51",0,"TASTEFUL nudes "
"2026-08-18 16:50:13",1,"*record scratch*"
"2026-08-18 16:50:19",1,"Are you still doing the cat mother thing"
"2026-08-18 16:50:29",1,"Or did I miss that you’re an actual mother "
"2026-08-18 16:50:41",1,"The wiki needs to know lol"
"2026-08-18 16:52:34",0,"No still just cats "
"2026-08-18 16:52:37",0,"But both of my cats died "
"2026-08-18 16:52:40",0,"So I got two more "
"2026-08-18 16:53:20",1,"Oh no im so sorry. Honestly worse than having and then losing or accidentally smothering a real child (I think)"
"2026-08-18 16:53:29",0,"I almost sent you a boob pic on Snapchat but you’ll save it "
"2026-08-18 16:53:55",0,"Yeah Sylvia dying really fucked me up and then Edgar had nasal cancer and sneezed blood everywhere  "
"2026-08-18 16:56:32",1,"But in my head I was trying to reframe you as having a kid and that was seriously going to fuck up my ability to shift my psychic attention to simping on you "
"2026-08-18 16:56:39",0,"I’m not a cool girl anymore I’m just sad lol "
"2026-08-18 16:56:43",0,"Laughed at “But in my head I was trying to reframe you as having a kid and that was seriously going to fuck up my ability to shift my psychic attention to simping on you ”"
"2026-08-18 16:56:50",0,"Oh wow you said fuck those kids "
"2026-08-18 16:56:55",1,"Listen it’s the worst isn’t it "
"2026-08-18 16:57:52",1,"No…well, yeah kind of …it’s just


For a million reasons that just would be an absolute disaster for me. That is not a sustainable situation for me "
"2026-08-18 16:58:12",0,"I just like sleeping "
"2026-08-18 16:58:16",0,"Kids don’t do that "
"2026-08-18 16:58:46",1,"Okay, game on "
"2026-08-18 17:00:27",1,"Dont you hate it so much it’s awful  "
"2026-08-18 17:01:27",1,"Being millennial was * barely* tolerable in 2006 and now it’s just bleak as fuck"
"2026-08-18 17:02:36",1,"We are legitimately old now and yet still treated like we are too young to do anything important "
"2026-08-18 17:19:26",0,"I’m Gen Z in my mind "
"2026-08-18 17:19:33",0,"And most of my coworkers think I’m 26 "
"2026-08-18 17:22:07",1,"What’s your favorite Hawthorne heights song"
"2026-08-18 17:23:19",0,"Prob saying sorry "
"2026-08-18 17:24:10",1,"Any answer to that question other than “huh?” Means you are just core millennial "
"2026-08-18 17:24:29",1,"Now I have to find that tweet with the most millennial video ever"
"2026-08-18 17:25:58",1,https://x.com/historyinmemes/status/1748002807263998092
"2026-08-18 17:26:10",1,"Fuck wrong one but you get the point"
"2026-08-18 18:11:37",1,"￼"
"2026-08-18 18:11:59",1,"Maybe the best description of anyone in the entire thing "
"2026-08-18 18:14:22",0,"I’m crying "
"2026-08-18 18:15:27",0,"Internet famous figure "
"2026-08-18 18:15:32",0,"No physical component at all "
"2026-08-18 18:22:36",1,"Yeah tell meabout it"
"2026-08-18 18:36:39",0,"Pls I called you when I was in NYC once and you were too scared "
"2026-08-18 19:41:37",0,"I read May- August "
"2026-08-18 19:48:11",1,"oh god no you didn’t lik"
"2026-08-18 19:48:14",1,lol*
"2026-08-18 19:48:30",1,"This is why I never give anyone access to this oh god oh man"
"2026-08-18 19:48:54",1,"Is that like its own article?"
"2026-08-18 19:49:27",1,"Now you see why I need you to save me"
"2026-08-18 19:53:44",1,"￼"
"2026-08-18 19:53:53",1,"Claude didn’t write the update so there’s some hallucination in that batch but "
"2026-08-18 19:54:44",1,"￼"
"2026-08-18 19:54:45",1,"Aka in love"
"2026-08-18 19:56:34",0,"￼￼￼"
"2026-08-18 19:56:39",0,"They kind of gagged "
"2026-08-18 19:58:27",1,"Yeah it doesn’t really seem to enjoy my antics "
"2026-08-18 19:58:31",0,"￼"
"2026-08-18 19:58:31",1,"Though, noone ever does"
"2026-08-18 20:00:13",1,"It keeps building off of all of the knowledge it stacks up so the observations get better and better "
"2026-08-18 20:02:27",0,"￼￼"
"2026-08-18 20:03:16",0,"￼"
"2026-08-18 20:04:28",0,"￼This is SO funny "
"2026-08-18 20:05:02",0,"I don’t think anyone will ever love me as much as you love Annie "
"2026-08-18 20:05:13",0,"But I can’t tell if it’s actually love or fear and codependency "
"2026-08-18 20:06:10",0,"Most of her texts are just asking for drugs but Eggie is a cute nickname "
"2026-08-18 20:07:28",1,"hahahahah yeah you're right they are"
"2026-08-18 20:07:41",1,"but the whole thing makes quite clear what's going oin"
"2026-08-18 20:07:46",1,"like it's not very ambiguous"
"2026-08-18 20:07:46",0,"I mean the entire month of May 2026 at least "
"2026-08-18 20:08:02",1,"i did good i didn't speak to her for 2 months"
"2026-08-18 20:08:19",1,"and she kept emailing after i blocked her and shit"
"2026-08-18 20:08:21",0,"It was just weird to see you like spilling your guts and she was like ok I have $80"
"2026-08-18 20:08:52",1,"which of the 99999999 times are you referring to lol"
"2026-08-18 20:09:09",1,"because that's what the whole thign devoved into entirel"
"2026-08-18 20:09:15",0,"I SAID MAY 2026"
"2026-08-18 20:09:21",0,"Yeah I literally saw lol "
"2026-08-18 20:09:31",0,"Also you say the same thing to every girl "
"2026-08-18 20:09:35",1,"oh my god you didn't get to the end of may yet?"
"2026-08-18 20:09:39",0,"“You’re the most beautiful girl in the world” etc "
"2026-08-18 20:09:41",1,"i really do "
"2026-08-18 20:09:45",0,"I just told you I read May- July "
"2026-08-18 20:09:47",0,"Keep up "
"2026-08-18 20:10:08",1,"but it's sincere "
"2026-08-18 20:10:17",1,"also you have a small sample size..."
"2026-08-18 20:10:17",0,"Right so it’s not crazy "
"2026-08-18 20:10:26",0,"And she honestly probably enjoyed it "
"2026-08-18 20:10:28",1,"unless you've read more than i think "
"2026-08-18 20:10:31",0,"Questioned “also you have a small sample size...”"
"2026-08-18 20:10:53",1,"you know what I said to you and now you know what I said to Annie so you can’t say it’s EVERY girl"
"2026-08-18 20:10:53",0,"Like every girl wants to make a guy so insane "
"2026-08-18 20:11:11",0,Pleaseeeee
"2026-08-18 20:11:14",0,"Alexis too prob "
"2026-08-18 20:11:22",1,"there's only one way to find out"
"2026-08-18 20:14:38",0,"The kidnapping part confuses me "
"2026-08-18 20:19:07",1,"She keeps claiming whenever he finds out she was texting me and he calls me and my mom to harass us that she was actually kidnapped and in danger at that time "
"2026-08-18 20:19:50",1,"You should hear what I recorded the other night I don’t think it’s in there yet "
"2026-08-18 20:19:56",0,"Yeah that’s the most insane shit I’ve ever heard "
"2026-08-18 20:20:22",0,"Honestly she sounds like an avoidant addict lol "
"2026-08-18 20:20:30",0,"Ppl will make up crazy shit "
"2026-08-18 20:20:51",1,"She’s like hall of famer BPD crazybitch "
"2026-08-18 20:21:13",1,"The weird thing to me was that she didn’t understand this would and would continue to blow up in her face "
"2026-08-18 20:21:32",0,"Well you’ve also said she’s stupid "
"2026-08-18 20:21:34",1,"But this other dude is like an actual violent psychopath so it’s hard to say what’s going on "
"2026-08-18 20:21:50",1,"She’s incurious and not intelligent "
"2026-08-18 20:22:07",1,"But you don’t need those to be conniving and manipulative successfully "
"2026-08-18 20:22:38",0,"Is she still with this dude? "
"2026-08-18 20:23:00",0,"What happened with your mom "
"2026-08-18 20:26:28",1,"￼"
"2026-08-18 20:27:19",1,"It was baaaaaad and then again the other night "
"2026-08-18 20:27:37",0,"End fight is crazy "
"2026-08-18 20:27:55",1,"Does it say how weird I was being "
"2026-08-18 20:28:05",1,"I started talking about Israel"
"2026-08-18 20:28:29",0,"I didn’t read I’m just saying in general "
"2026-08-18 20:28:53",1,"That’s probably the only article worth reading. A real hinge moment "
"2026-08-18 20:29:03",0,"Link "
"2026-08-18 20:32:05",1,https://caakehorn.github.io/wiki-brain/wiki/people/tuquick-17248123683.html
"2026-08-18 20:32:05",1,"Go to ‘role in the end fight’"
"2026-08-18 20:32:18",1,"The article for that event needs to be rewritten q"
"2026-08-18 20:32:27",1,"But it makes sense on that page "
"2026-08-18 20:33:39",0,"￼This guy?? "
"2026-08-18 20:34:03",1,"Not sure haven’t looked don’t care pass no thanks "
"2026-08-18 20:34:22",1,"I only looked the name up when he started sending me texts of my address lol"
"2026-08-18 20:34:27",1,"I was just like "
"2026-08-18 20:34:32",1,"What the fuck did I even do lol"
"2026-08-18 20:34:40",1,"Who are you?"
"2026-08-18 20:36:30",1,"All I can say is that visual doesn’t really align with the voice I heard on the phone"
"2026-08-18 20:36:50",1," But she only dated black dudes before me so it wouldn’t be too out of pocket for her "
"2026-08-18 20:43:50",1,"￼"
"2026-08-18 20:50:52",0,https://caakehorn.github.io/wiki-brain/wiki/people/bekah-fullem.html
"2026-08-18 20:50:53",0,"A broken record "
"2026-08-18 20:54:13",0,https://caakehorn.github.io/wiki-brain/wiki/people/shelbie-breakiron.html
"2026-08-18 21:00:38",0,"Men are so predictable "
"2026-08-18 21:06:47",1,"Haha oh come on how is that the reading you take away from this "
"2026-08-18 21:07:10",0,"Because hello "
"2026-08-18 21:07:10",1,"I feel like there’s very little here that says “this is a man” lol"
"2026-08-18 21:07:13",0,"It’s true "
"2026-08-18 21:07:31",1,"I’m very romantic 🥰 "
"2026-08-18 21:07:43",0,"You just love bomb "
"2026-08-18 21:07:47",0,"And you’re intense "
"2026-08-18 21:08:16",1,"But love bomb is like a malicious tactic and there very little malice "
"2026-08-18 21:08:25",0,"I didn’t say malicious "
"2026-08-18 21:09:11",1,"Okay that’s fair then"
"2026-08-18 21:09:19",0,"Also there’s no proof you ever sent me $2100 except your word"
"2026-08-18 21:09:21",0,"So I contest "
"2026-08-18 21:09:26",1,"Oh yes there is"
"2026-08-18 21:09:38",0,"And then I see you buying other bitches laptops! "
"2026-08-18 21:09:41",0,"I’m not even special "
"2026-08-18 21:09:50",0,"You’ve had a secret crush on everyone "
"2026-08-18 21:09:55",1,"Excuse me but "
"2026-08-18 21:09:57",0,"And you want to see everyone’s boobs "
"2026-08-18 21:10:07",1,"That was a refurbished laptop that cost $500 lol"
"2026-08-18 21:10:20",1,"So you actually beat out the tattoo model by several orders of magnitude "
"2026-08-18 21:10:27",0,"I’m a girl and I don’t know these things and honestly it’s none of my concern "
"2026-08-18 21:10:48",0,"I performed surgery on a tv all day on Sunday before I threw it in a closet"
"2026-08-18 21:10:58",0,"Wow and I’m not a tattoo model? "
"2026-08-18 21:11:36",1,"Ugh hold on let me get it out "
"2026-08-18 21:12:46",1,"￼"
"2026-08-18 21:12:51",1,"She was a tattoo model lol"
"2026-08-18 21:13:31",0,"And so am I "
"2026-08-18 21:14:02",1,"￼"
"2026-08-18 21:14:03",1,"Who said otherwise?????"
"2026-08-18 21:14:21",1,"You are SO much more than a tattoo model "
"2026-08-18 21:14:28",1,"You’re an early adopter twitter girl"
"2026-08-18 21:14:42",1,"That’s infinitely higher up the food chain"
"2026-08-18 21:18:51",1,"Listen you can call me a love bomber all you want I will find my Cassie from series 1 skins someday"
"2026-08-18 21:21:28",1,"Speaking of which I could tell you everything you need to know about Annie by telling you she’s like half effy and half Georgina from gossip girl"
"2026-08-18 21:21:47",1,"Just the worlds most toxic combo"
"2026-08-18 21:25:00",0,"Ok wait I remember this girl "
"2026-08-18 21:25:21",0,"I don’t think she’s half Effy bc I’m Effy "
"2026-08-18 21:25:42",1,"You are not effy you are such a nips"
"2026-08-18 21:25:47",0,"Let’s be real has she even seen Skins "
"2026-08-18 21:26:01",0,"That’s so mean I was about to call Annie nips "
"2026-08-18 21:26:05",0,"Ew "
"2026-08-18 21:26:20",0,"I’m so Effy and Freddie even slid into my DMs once "
"2026-08-18 21:26:23",1,"Yes but to be fair that’s only because I insist on watching it like once every two years I love it I will never stop loving it "
"2026-08-18 21:26:43",0,"￼"
"2026-08-18 21:26:58",0,"I can’t believe you called me nips "
"2026-08-18 21:27:09",1,"That’s like the BEST compliment "
"2026-08-18 21:27:14",0,"That’s blockable behavior!!! "
"2026-08-18 21:27:16",1,"She was the only pure one "
"2026-08-18 21:27:29",1,"She EVEN GAVE SYD A CHANCE"
"2026-08-18 21:27:29",0,"Plus I have inverted nipples "
"2026-08-18 21:27:35",0,"It’s just not even true "
"2026-08-18 21:27:54",0,"Annie wasn’t smart enough to be Effy "
"2026-08-18 21:28:00",1,"You don’t think you would be a Cassie "
"2026-08-18 21:28:04",1,"If you aren’t a Michelle"
"2026-08-18 21:28:13",0,"Well first of all I’m not a Michelle "
"2026-08-18 21:28:18",0,"I’m a half Effy half Cassie "
"2026-08-18 21:28:35",1,"Also PLEASE dont ever tell me you’re not a millennial again as you dissect the nuance of the skins series 1 cast "
"2026-08-18 21:28:50",0,"I’m not I’m Gen Z "
"2026-08-18 21:29:06",0,"I’m just 19 "
"2026-08-18 21:29:24",1,"Okay I can be in charlotte by like 2:30 if I don’t make any stops"
"2026-08-18 21:29:52",1,"I don’t know if there’s a 24 hour Las Vegas style drive through marriage place nearby but "
"2026-08-18 21:30:12",0,"It’s cute you think that after the nips comparison"
"2026-08-18 21:30:15",0,"I’m genuinely upset "
"2026-08-18 21:30:34",0,"You might as well have said Panda "
"2026-08-18 21:31:25",1,"Hahaha what are you TALKING about nips is like the only one you would want to marry on the whole cast "
"2026-08-18 21:31:40",0,"And no one wants to marry me!!!! "
"2026-08-18 21:31:41",1,"Except the girl with the rapper dad"
"2026-08-18 21:31:49",0,"I’m inherently evil and unlovable "
"2026-08-18 21:31:56",0,"And president of the boy smashing factory "
"2026-08-18 21:32:40",1,"You just miss what your best qualities are by 180°"
"2026-08-18 21:32:57",1,"And not to get too meta but "
"2026-08-18 21:33:08",0,"Other girls can manipulate two men into giving them free drugs and my dad won’t even meet me for coffee when I’m in the same state as him and 20 minutes north for the first time in 4 years "
"2026-08-18 21:33:31",1,"“Boy smashing factory” is precisely the reason you are appealing like "
"2026-08-18 21:33:35",1,"You have the good brain"
"2026-08-18 21:33:45",0,"I’m surprised I haven’t ruined it yet "
"2026-08-18 21:33:45",1,"But not like a STEM good brain"
"2026-08-18 21:33:53",1,"You have cool girl goodbrain "
"2026-08-18 21:33:55",0,"I work in STEM actually "
"2026-08-18 21:33:58",0,"Women in STEM"
"2026-08-18 21:34:02",1,"Aka early twitter adopter "
"2026-08-18 21:34:05",0,"I’m not a cool girl anymore "
"2026-08-18 21:34:15",0,"I’m in my mid TO LATE thirties "
"2026-08-18 21:34:24",1,"Hear me out okay"
"2026-08-18 21:34:32",1,"What if there is no such thing anymore "
"2026-08-18 21:34:38",1,"Because monoculture is dead "
"2026-08-18 21:34:49",0,"Ok well first of all there always is some sort of concept of time "
"2026-08-18 21:35:07",0,"And second of all I spent the best and most beautiful years of my life hating myself "
"2026-08-18 21:35:14",0,"And I’ll never get them back "
"2026-08-18 21:35:20",0,"And I’ll never be this young again "
"2026-08-18 21:35:23",1,"What used to be legitimately cool now only exists as a marketing strategy"
