date,time,sender,message,raw_timestamp,source_page
2016-01-11,09:46,Dad,Do u want to go to the Steeler game in Denver?,"1/11/16, 9:46 AM",4
2016-01-11,09:46,Unknown,Wow!,"1/11/16, 9:46 AM",4
2016-01-11,09:46,Unknown,How long of a trip would it be? What days,"1/11/16, 9:46 AM",4
2016-01-11,09:46,Unknown,I would love to go just want to make sure of the dates first,"1/11/16, 9:46 AM",4
2016-01-11,09:46,Unknown,I was kidding. I want to also but can't swing it,"1/11/16, 9:46 AM",4
2016-01-11,09:46,Unknown,LOL I was going to say LOL I was going to say,"1/11/16, 9:46 AM",4
2016-01-11,09:46,Unknown,That's a Clinton economy move,"1/11/16, 9:46 AM",4
2016-01-11,09:46,Unknown,Is there even a game in Denver,"1/11/16, 9:46 AM",4
2016-01-11,09:46,Unknown,Si. Sunday afternoon,"1/11/16, 9:46 AM",4
2016-01-18,10:19,Unknown,What did u think of the game yesterday?,"1/18/16, 10:19 AM",4
2016-01-23,14:03,Unknown,Well today would be the day to go skiing!,"1/23/16, 2:03 PM",4
2016-01-23,14:03,Unknown,Do I have any snow boots at your place? I need to shovel and don't have any,"1/23/16, 2:03 PM",4
2016-01-23,18:15,Dad,Sorry. I was working on the driveway & didn't see this until now. There r a couple of bags from 7 springs in the garage that I've been holding on to for u. It's been so long since so long but boots might be in them. Ur welcome to take them & see,"1/23/16, 6:15 PM",4
2016-01-23,18:15,Unknown,"Cool thank you! Anne's car is still stuck in the driveway here, I can shovel it out but I still don't think the roads are done enough for her to make it back to Derrick Ave","1/23/16, 6:15 PM",4
2016-01-24,09:39,Dad,Did ur mother take care of ur tax returns in 2014? Or did u? Do u have a plan for 2015 taxes?,"1/24/16, 9:39 AM",4
2016-01-29,10:06,Unknown,That's a good start. I think a lot of it is already on there,"1/29/16, 10:06 AM",5
2016-01-29,10:06,Unknown,Alan started the Frank side a couple of yrs ago & I added some of the Gillingham stuff that I knew,"1/29/16, 10:06 AM",5
2016-01-29,10:06,Dad,There's still some Frank dates that r incomplete. Someday I was going to go out to the cemetery to get some of the updated birth & death dates. We can go if u want,"1/29/16, 10:06 AM",5
2016-01-29,10:06,Unknown,I started doing the family history on ancestry.com does that all look right so far?,"1/29/16, 10:06 AM",5
2016-01-29,11:53,Unknown,Well... It's a long story. Sometime I'll tell u,"1/29/16, 11:53 AM",5
2016-01-29,11:53,Unknown,Did u see that shaun white wasn't even invited to compete @ Xgames?,"1/29/16, 11:53 AM",5
2016-01-29,11:53,Unknown,"I'm not sure what you meant by drama, but any may have missed read the situation at FAS a little bit.","1/29/16, 11:53 AM",5
2016-01-29,11:53,Unknown,Someone did get cut from the team yesterday but it wasdue to a big slowdown in the retail business. And it was an amicable parting,"1/29/16, 11:53 AM",5
2016-01-29,11:53,Unknown,Annie may have misread. Thx Siri,"1/29/16, 11:53 AM",5
2016-01-29,11:53,Dad,Thx. What r u up to today? Working?,"1/29/16, 11:53 AM",5
2016-01-29,13:02,Unknown,Annie was in FAS a few minutes ago and witnessed some drama over someone getting fired,"1/29/16, 1:02 PM",5
2016-01-30,10:04,Unknown,It wasn't a big deal or problem. I just wanted to let you know that it was a topic of discussion even outside of the back office when she was in there,"1/30/16, 10:04 AM",5
2016-02-07,14:45,Unknown,Are you doing anything for the Super Bowl?,"2/7/16, 2:45 PM",6
2016-02-07,14:45,Unknown,Annie and I are on our way back from Columbus. Hello Annie! I'm sure that u killed it.,"2/7/16, 2:45 PM",6
2016-02-07,14:45,Dad,We're hanging @22. Ur welcome to come over for nachos & cheese. It's our customary football tradition,"2/7/16, 2:45 PM",6
2016-02-07,14:45,Dan,We didn't have any SB events to attend. Plus I had a rough week & want to chill,"2/7/16, 2:45 PM",6
2016-02-07,14:45,Dad,Ur a personable guy & I'm sure that u will do a good job @ TT. U always seem to apply urself in work situations,"2/7/16, 2:45 PM",6
2016-02-07,14:45,Dad,If u want to talk about ur hearing tomorrow I'm @22. Probably better to talk about something like this in person not by text,"2/7/16, 2:45 PM",6
2016-02-07,14:45,Dad,It would be good idea to bring me I up to speed w ur legal situation. I'm around after 9 Let me know when/where yinz want to meet,"2/7/16, 2:45 PM",6
2016-02-07,14:45,Unknown,Will had a huge house party for his birthday so I DJ'd it for him,"2/7/16, 2:45 PM",6
2016-02-07,14:45,Unknown,It was his 21st. They had 3 kegs and close to 200 people in their house,"2/7/16, 2:45 PM",6
2016-02-07,14:45,Unknown,What are you doing for the game,"2/7/16, 2:45 PM",6
2016-02-16,17:19,Dan,Do you have any plans I have my final court hearing to determine my acceptance to ARD,"2/16/16, 5:19 PM",6
2016-02-16,17:19,Unknown,It's with Judge Solomon. Jack told me that you probably know him and that it couldn't hurt to have recognizable faces with me,"2/16/16, 5:19 PM",6
2016-02-16,17:19,Dan,"Btw I got another job, I start at teletech on Friday. The lady who hired me knows you and said that you were a, quote, ""hunk""","2/16/16, 5:19 PM",6
2016-02-16,17:19,Unknown,"And that she would ""swoon when she saw your eyes"". It was a VERY strange interview","2/16/16, 5:19 PM",6
2016-02-17,08:24,Unknown,I have a lot to get done this morning but I will give,"2/17/16, 8:24 AM",7
2016-02-17,08:24,Unknown,It went really well though,"2/17/16, 8:24 AM",7
2016-02-17,08:24,Unknown,tomorrow at 2:30? How about 15 mins?,"2/17/16, 8:24 AM",7
2016-02-17,08:24,Unknown,Sorry. Misfire,"2/17/16, 8:24 AM",7
2016-02-17,08:24,Dad,Ur obviously not comfortable w me & don't talk w me for whatever reasons. & Ur obviously more comfortable w ur mom. She's pretty well connected & I bet she knows the Judge also. I'm not sure if my being there will make any difference & I don't want to be responsible for screwing anything up for u. I'm sure that Jack has it under control & u will do fine. Give me a buzz later & let me know the good news,"2/17/16, 8:24 AM",7
2016-02-17,08:24,Dad,More than just the legal stuff. I understand that today isn't convenient. Maybe some other time when ur more comfortable we can get together,"2/17/16, 8:24 AM",7
2016-02-17,08:24,Unknown,Also texting is way to much work to have a conversation. My head hurts!!!,"2/17/16, 8:24 AM",7
2016-02-17,08:24,Unknown,I have a lot to get done this morning but I will give you a shout around 11 or so and see where you're at,"2/17/16, 8:24 AM",7
2016-02-17,08:24,Dan,"I'm meeting jack at his office at 2p. Hearing is 230.  If I'm accepted, I do 50 hours of community service, pay some fines...and then my record is wiped clean","2/17/16, 8:24 AM",7
2016-02-17,11:16,Unknown,Where will you be around 1:15-1:30,"2/17/16, 11:16 AM",7
2016-02-17,11:16,Dan,Dad I'm running around I have a ton of shit to do this morning before I go there,"2/17/16, 11:16 AM",7
2016-02-17,11:16,Unknown,"Also I don't have much more to inform you of. If they accept me into ARD it will be an easy out, if not I don't know what happens.","2/17/16, 11:16 AM",7
2016-02-17,11:16,Unknown,That's what jack will be telling me at 2 I assume,"2/17/16, 11:16 AM",7
2016-02-17,11:16,Unknown,I have 2 more stops and then gonna put my suit on. If you're around at 1:15 I can explain what I know in greater detail,"2/17/16, 11:16 AM",7
2016-02-17,15:12,Dan,I got approved for ARD. It was judge Wagner not Solomon Thatʼs great. Congrats!,"2/17/16, 3:12 PM",8
2016-02-17,15:12,Dad,Let me know if/when u want to go get some wings or steak,"2/17/16, 3:12 PM",8
2016-02-17,15:12,Unknown,Or just hang out,"2/17/16, 3:12 PM",8
2016-02-17,15:12,Unknown,When do u start @ TT?,"2/17/16, 3:12 PM",8
2016-02-17,15:12,Dad,U look killer. Just smile & go w it,"2/17/16, 3:12 PM",8
2016-02-17,15:12,Dad,Of course we want to see u in ur new duds Any chance u & A can stop by here?,"2/17/16, 3:12 PM",8
2016-02-17,15:12,Unknown,Ok,"2/17/16, 3:12 PM",8
2016-02-17,15:12,Unknown,Do u still need a ride?,"2/17/16, 3:12 PM",8
2016-02-17,15:12,Unknown,Omw,"2/17/16, 3:12 PM",8
2016-02-17,15:12,Dan,Picking up Dan now,"2/17/16, 3:12 PM",8
2016-02-17,15:12,Dad,U 2 looked amazing,"2/17/16, 3:12 PM",8
2016-02-17,15:12,Unknown,Did u have fun?,"2/17/16, 3:12 PM",8
2016-02-17,15:12,Unknown,How was it?,"2/17/16, 3:12 PM",8
2016-02-17,15:12,Unknown,Great. Way to stick w it,"2/17/16, 3:12 PM",8
2016-02-29,22:54,Dan,Just an update- My ARD requirements are 50 hours community service and $1950 in fines. Supposed to be done over 6 months,"2/29/16, 10:54 PM",8
2016-02-29,22:54,Dan,I've done 16 hours of community service so far with Rick Vernon at SOuth Union Twp. I have the first installment of the fine ready to be paid. They will release me and expunge my record as soon as I complete those two things,"2/29/16, 10:54 PM",8
2016-03-01,17:23,Dad,Gonna get some wings at cts if you guys wanna go,"3/1/16, 5:23 PM",9
2016-03-01,17:23,Unknown,Annie is working,"3/1/16, 5:23 PM",9
2016-03-01,19:12,Unknown,Sorry I didn't see this. I'm in Pgh right now. Thx for the offer,"3/1/16, 7:12 PM",9
2016-03-07,14:04,Dan,I might be caddying at mystic rock this summer,"3/7/16, 2:04 PM",9
2016-03-07,14:04,Dad,U will certainly get ur steps in,"3/7/16, 2:04 PM",9
2016-03-07,14:04,Dan,I played 18 the other day and was crushing it. Got me in the mood to play this year,"3/7/16, 2:04 PM",9
2016-03-07,14:04,Unknown,at least 1 of us plays. Iʼve played 9 holes in 3 years,"3/7/16, 2:04 PM",9
2016-03-07,14:04,Unknown,My Jr. Golf clubs still do the job lol,"3/7/16, 2:04 PM",9
2016-03-23,18:55,Unknown,I don't think I knew that. I've seen him a few times recently,"3/23/16, 6:55 PM",9
2016-03-23,18:55,Unknown,I saw mr and Mrs carom today. Annie and I went to Phipps to see a flower show that Ellen worked on.,"3/23/16, 6:55 PM",9
2016-03-23,18:55,Unknown,I'm sure it's gorgeous,"3/23/16, 6:55 PM",9
2016-03-25,07:14,Unknown,We put together plans for Easter dinner early PM. U probably have plans for Easter but we would love if u  could join us,"3/25/16, 7:14 AM",9
2016-03-26,20:04,Unknown,What time are you planning To eat?,"3/26/16, 8:04 PM",9
2016-03-26,20:04,Unknown,2:00ish. & we have room for 2,"3/26/16, 8:04 PM",9
2016-03-26,20:04,Unknown,Okay I think we can swing that,"3/26/16, 8:04 PM",9
2016-03-26,20:04,Unknown,"Church in the morning, ulmers at 4","3/26/16, 8:04 PM",9
2016-03-26,20:04,Unknown,I'm in Pittsburgh now with the whole Ulmer crew to see will's band,"3/26/16, 8:04 PM",9
2016-03-26,22:10,Unknown,We stopped @ Walgreens & on Sat nite it's the next stop for Walmart crowd. We'll be there in few mins,"3/26/16, 10:10 PM",10
2016-03-26,22:10,Unknown,Ooooops. Misfire,"3/26/16, 10:10 PM",10
2016-03-26,22:10,Unknown,Glad to have u,"3/26/16, 10:10 PM",10
2016-03-26,22:10,Dad,U will have a good time. The Ulmers r way fun people,"3/26/16, 10:10 PM",10
2016-03-26,22:10,Unknown,It's taken a while but I've made some ground with them. I get invited to the family stuff now at least,"3/26/16, 10:10 PM",10
2016-03-27,14:15,Dad,U must have changed ur mind,"3/27/16, 2:15 PM",10
2016-03-27,14:15,Unknown,0:00,"3/27/16, 2:15 PM",10
2016-04-22,13:04,Unknown,How was Eurydice?,"4/22/16, 1:04 PM",10
2016-04-22,17:06,Unknown,Pretty good! Lots of symbolism and focus on aesthetic,"4/22/16, 5:06 PM",10
2016-04-22,17:06,Unknown,"If you're around this weekend and want to dust off your clubs for some golf, I'm going to try to play sometime","4/22/16, 5:06 PM",10
2016-04-23,15:24,Unknown,Maybe. I was gonna cut grass but mower is still broken.,"4/23/16, 3:24 PM",10
2016-04-23,15:24,Dad,If u want to watch the Pens game come on over. Lilah & I are hanging out,"4/23/16, 3:24 PM",10
2016-04-25,08:03,Unknown,How did u play ?,"4/25/16, 8:03 AM",10
2016-05-05,17:18,Dan,We can play mystic rock for $15 with my employee discount. If you ever have a day off and want to go let me know,"5/5/16, 5:18 PM",10
2016-05-06,06:47,Dad,I guess u got a job there. thatʼs a steal Great. Very proud of u.,"5/6/16, 6:47 AM",11
2016-05-11,20:51,Dan,Nose ring out for the first time since 2009. Tomorrow is my first real round caddying,"5/11/16, 8:51 PM",11
2016-05-11,20:51,Dan,I really really dig it. Spending all day on the golf course is a blast and it's getting me back into playing in a big way. Also mystic rock is top notch and really hard,"5/11/16, 8:51 PM",11
2016-05-11,20:51,Unknown,Let's play up there sometime.,"5/11/16, 8:51 PM",11
2016-05-11,20:51,Unknown,I'm in,"5/11/16, 8:51 PM",11
2016-05-12,06:54,Unknown,I heard Big Joe is tearing up the Links Course,"5/12/16, 6:54 AM",11
2016-05-12,15:49,Unknown,Big time. They're just getting started moving dirt,"5/12/16, 3:49 PM",11
2016-05-12,15:49,Unknown,I guess that made it a memorable first day. Did your,"5/12/16, 3:49 PM",11
2016-05-12,15:49,Unknown,Just finished my round today. We only made it 7 holes before it poured,"5/12/16, 3:49 PM",11
2016-05-12,15:49,Unknown,group go back out,"5/12/16, 3:49 PM",11
2016-05-12,15:49,Unknown,No. They sent me out with someone playing alone today and he didn't want to play more than 9 anyway.,"5/12/16, 3:49 PM",11
2016-05-12,15:49,Dad,Good job,"5/12/16, 3:49 PM",11
2016-05-12,15:49,Dan,That's about as easy of a day as you can get. Usually we forecaddy and run out from the tee box and spot drives from 150 yards. Only one person means you ride in the cart the whole day,"5/12/16, 3:49 PM",11
2016-05-13,14:31,Dan,My foursome canceled today so I just get to play the course for free with brand new clubs lol,"5/13/16, 2:31 PM",11
2016-05-13,14:31,Unknown,Not bad,"5/13/16, 2:31 PM",11
2016-05-14,08:39,Unknown,I really have the bug,"5/14/16, 8:39 AM",12
2016-05-14,08:39,Unknown,To golf? Or a flu? Lol To golf? Or a flu? Lol,"5/14/16, 8:39 AM",12
2016-05-14,08:39,Unknown,Thx for the offer I really appreciate it. I can't pull it,"5/14/16, 8:39 AM",12
2016-05-14,08:39,Dan,I got to mystic rock at 7am and they don't even know if I'll have a loop to make today,"5/14/16, 8:39 AM",12
2016-05-14,08:39,Unknown,Lots of cancels,"5/14/16, 8:39 AM",12
2016-05-14,08:39,Dan,I think I'm off tomorrow. If you wanna play UCC I'm in. Even if you just wanna play 9,"5/14/16, 8:39 AM",12
2016-05-15,06:41,Unknown,off toady. I have something going on. Plus I'd have to wear my snowmobile suit to pull it,"5/15/16, 6:41 AM",12
2016-05-15,06:41,Unknown,You going to graduation? off,"5/15/16, 6:41 AM",12
2016-05-15,06:41,Dad,I'm guessing everyone will cancel today. Probably catch graduation if so. Let me know if you want to play sometime this week,"5/15/16, 6:41 AM",12
2016-05-15,06:41,Unknown,We're going to graduation. We went to urs didn't,"5/15/16, 6:41 AM",12
2016-05-15,08:13,Unknown,Annie and I are going to graduation. If you're going I'll see you there,"5/15/16, 8:13 AM",12
2016-05-15,08:13,Unknown,we?,"5/15/16, 8:13 AM",12
2016-05-15,08:13,Unknown,We stayed in Pgh last nite. Going to the drama Dept graduation,"5/15/16, 8:13 AM",12
2016-05-15,08:13,Unknown,Lol,"5/15/16, 8:13 AM",12
2016-05-15,13:07,Unknown,Yeah but at least mine wasn't so far away!,"5/15/16, 1:07 PM",12
2016-05-15,13:07,Unknown,I see you don't spill your water!,"5/15/16, 1:07 PM",12
2016-05-16,15:21,Unknown,Btw I completed all of the requirements I had for ARD related to my court case.,"5/16/16, 3:21 PM",12
2016-05-16,15:21,Unknown,If you wanna go hit balls tonight I am free,"5/16/16, 3:21 PM",12
2016-05-16,15:21,Dan,Paid the fines and did all community service. I was told that if I did this early they would release me early. So I'm hopeful that they'll do that this week and I did it in only 3 months instead of 6,"5/16/16, 3:21 PM",12
2016-05-16,18:32,Dan,Sure. I'm driving back from Indiana now. What time were you thinking about going?,"5/16/16, 6:32 PM",13
2016-05-16,18:32,Dad,Good job on your ARD.,"5/16/16, 6:32 PM",13
2016-05-16,18:32,Unknown,How far out are you? We were thinking about going at like 715,"5/16/16, 6:32 PM",13
2016-05-16,18:32,Unknown,But I'm waiting to hear if Annie is obligated to family dinner or not. My clubs are in her car,"5/16/16, 6:32 PM",13
2016-05-16,18:32,Unknown,I'm a little way out so I may be 15 minutes later than that. Let me know what's going on,"5/16/16, 6:32 PM",13
2016-05-16,18:32,Unknown,Let's do it tomorrow if you're free. I'm still not sure what Annie is doing and it's already late,"5/16/16, 6:32 PM",13
2016-05-16,18:32,Unknown,6am tomorrow lol,"5/16/16, 6:32 PM",13
2016-05-16,18:32,Unknown,Sorry does tomorrow work?,"5/16/16, 6:32 PM",13
2016-05-16,18:32,Unknown,Idk if you wanna go we can. Let me know,"5/16/16, 6:32 PM",13
2016-05-16,18:32,Unknown,6 am is fine be w me. I got up this morn @4:30,"5/16/16, 6:32 PM",13
2016-05-16,18:32,Unknown,Actually I'm running out of gas since I got up so early. Let's try tomorrow.,"5/16/16, 6:32 PM",13
2016-05-16,18:32,Unknown,What days do u work?,"5/16/16, 6:32 PM",13
2016-05-17,14:31,Unknown,Sorry I didn't see your last message. I work whatever days they have groups for me. Earliest I know is night before.,"5/17/16, 2:31 PM",13
2016-05-17,14:31,Unknown,Summer will be different,"5/17/16, 2:31 PM",13
2016-05-17,20:00,Dan,If you wanna go to frankos I'm free,"5/17/16, 8:00 PM",14
2016-05-17,20:00,Unknown,I know it's a little late but just throwing it out there,"5/17/16, 8:00 PM",14
2016-05-17,20:00,Unknown,They're open for another hour,"5/17/16, 8:00 PM",14
2016-05-17,20:00,Dad,Thanks for the offer but I just got home a little while ago & old dad's getting hangry.,"5/17/16, 8:00 PM",14
2016-05-17,20:00,Dan,I need all the practice swings I can get in. Everyone who caddies plays a lot and is really good And mystic is not an easy course,"5/17/16, 8:00 PM",14
2016-05-17,20:00,Dad,But any day you want to go let me know!,"5/17/16, 8:00 PM",14
2016-05-17,20:00,Unknown,Absolutely. I have to start @ the range before I play. I'm not a natural so I need a lot of swings since I've been on sabbatical,"5/17/16, 8:00 PM",14
2016-05-17,20:00,Dad,I'm glad that u are getting into it again.,"5/17/16, 8:00 PM",14
2016-05-17,20:00,Unknown,& getting paid for it!,"5/17/16, 8:00 PM",14
2016-05-17,20:00,Dan,"Making a good bit more than I was at teletech. The lore of a Pete dye course is pretty cool too, there's a lot of nuances in the layout that I'm starting to understand","5/17/16, 8:00 PM",14
2016-05-17,20:00,Unknown,They tip for stuff that they can't see themselves,"5/17/16, 8:00 PM",14
2016-05-17,20:00,Unknown,I'm in desperate need of a range finder..if you know anyone who has one for sale or loan,"5/17/16, 8:00 PM",14
2016-05-17,20:00,Unknown,"It is a life saver. Essentially, you have the time it takes for a group to drive from the tee to their balls to figure out yardage on all 4 balls. Pacing it out is the only option if you don't have a laser","5/17/16, 8:00 PM",14
2016-05-19,09:41,Dan,Today's a good day to be a forecaddy!,"5/19/16, 9:41 AM",14
2016-05-19,18:36,Unknown,Was this guy likes up correctly?,"5/19/16, 6:36 PM",14
2016-05-20,07:06,Unknown,lined up correctly?,"5/20/16, 7:06 AM",14
2016-05-20,16:31,Dan,Had my first $100 tip today,"5/20/16, 4:31 PM",14
2016-05-20,20:25,Unknown,Nice job,"5/20/16, 8:25 PM",14
2016-05-20,22:25,Unknown,Tan lines from today hahaha,"5/20/16, 10:25 PM",15
2016-05-20,22:25,Unknown,Better known as a golfers tan,"5/20/16, 10:25 PM",15
2016-05-20,22:25,Unknown,Did you see 500 yard drive at Irish open?,"5/20/16, 10:25 PM",15
2016-05-20,22:25,Unknown,musta been hard as a rock there,"5/20/16, 10:25 PM",15
2016-05-21,12:21,Dan,Any loops today?,"5/21/16, 12:21 PM",15
2016-05-21,13:30,Unknown,Actually it hit the cart path and went an extra 200 lol,"5/21/16, 1:30 PM",15
2016-05-21,13:30,Dan,And no loops today. I could have had one at 730 this morning but my legs needed a day off lol,"5/21/16, 1:30 PM",15
2016-05-21,13:30,Unknown,"Every day I'm there is like an agreement to run 17 miles, including lots and lots of hills","5/21/16, 1:30 PM",15
2016-05-21,13:30,Unknown,Thanks buddy.,"5/21/16, 1:30 PM",15
2016-05-21,13:30,Unknown,Hard to do more than 3 or 4 days of that in a ro,"5/21/16, 1:30 PM",15
2016-05-22,20:29,Dan,Happy birthday! I'm just getting home from mystic,"5/22/16, 8:29 PM",15
2016-05-22,20:29,Dan,Annie and I made a pit stop at Frankos. I banged a barrel from 125 yards like 3 times before mr. Franko complimented my killer wedge game,"5/22/16, 8:29 PM",15
2016-05-23,11:51,Dan,I was informed this morning that my ARD is done and that the paperwork has been started to expunge my record,"5/23/16, 11:51 AM",15
2016-05-23,11:51,Dad,Good job. Remember… life isnʼt a straight line,"5/23/16, 11:51 AM",15
2016-05-23,11:51,Unknown,Thank goodness that is over with. This is the first time since last January that I am free to roam outside of Pennsylvania,"5/23/16, 11:51 AM",15
2016-05-23,11:51,Unknown,Where r u going to roam to?,"5/23/16, 11:51 AM",15
2016-05-23,13:07,Unknown,Haha no idea but it's nice to know that if I wanted to $75-100'ish,"5/23/16, 1:07 PM",16
2016-05-23,13:07,Unknown,"Haha no idea but it's nice to know that if I wanted to pack up and go, I could.","5/23/16, 1:07 PM",16
2016-05-23,13:07,Dan,I talked to jack Connor's office and they already received the paperwork to start the expungement process,"5/23/16, 1:07 PM",16
2016-05-23,13:07,Unknown,In 6-9 months it will be completely erased from my record,"5/23/16, 1:07 PM",16
2016-05-23,20:15,Unknown,Any idea how much a battery for a 2000 Volvo S80 costs?,"5/23/16, 8:15 PM",16
2016-05-24,19:27,Dan,Getting paid to play tomorrow. Helping train new caddies,"5/24/16, 7:27 PM",16
2016-05-24,19:27,Dad,I think ur spraying balls on purpose so it will be good,"5/24/16, 7:27 PM",16
2016-05-25,10:02,Unknown,Like I forgot how to play golf today,"5/25/16, 10:02 AM",16
2016-05-25,10:02,Dan,experience for the trainees to see the whole course. Anyone can caddy a guy that stripes it down the middle. It takes a real man to cover both sides of the course,"5/25/16, 10:02 AM",16
2016-05-25,10:02,Dad,What's ur fav hole?,"5/25/16, 10:02 AM",16
2016-05-25,10:02,Unknown,To play? 7 or 11,"5/25/16, 10:02 AM",16
2016-05-25,10:02,Dan,To caddy? 17,"5/25/16, 10:02 AM",16
2016-05-25,10:02,Unknown,18 I mean lol,"5/25/16, 10:02 AM",16
2016-05-25,13:42,Unknown,That was unreal. So embarrassing. I'm,"5/25/16, 1:42 PM",17
2016-05-25,13:42,Dan,It was like I had never played before haha. I've been to Frankos the past 4 nights and hitting great,"5/25/16, 1:42 PM",17
2016-05-25,13:42,Unknown,I don't know if hitting so many shots from the mat and plastic tee had some impact or whether it was just nerves,"5/25/16, 1:42 PM",17
2016-05-25,13:42,Dan,I sucked graciously though. I made fun of myself and after a while I just dropped my ball from 150. Most of my struggles were from the tee,"5/25/16, 1:42 PM",17
2016-05-25,13:42,Unknown,Was like Jr golf all over again. There was even a 'Santino' in my group with a late model Scotty Cameron putter and skills to match,"5/25/16, 1:42 PM",17
2016-05-25,17:14,Unknown,That's the lure of golf... 10 average rounds...w 1 killer & 1 sucky round sandwiched in between. the only 1 u remember & teases u & keeps u coming back is that 1 good one,"5/25/16, 5:14 PM",17
2016-05-25,17:14,Unknown,Nice day to be out,"5/25/16, 5:14 PM",17
2016-05-26,19:59,Unknown,Franko's closes in an hour. If you wanna go let me know,"5/26/16, 7:59 PM",17
2016-05-26,19:59,Unknown,Not tonite. I've been on the floor for 5 days w back issues. I'll take a rain check if u don't mind,"5/26/16, 7:59 PM",17
2016-05-26,19:59,Unknown,Rain check is fine!,"5/26/16, 7:59 PM",17
2016-05-28,14:37,Unknown,Gonna play 9 at the club,"5/28/16, 2:37 PM",17
2016-05-28,14:37,Dan,My loop canceled today,"5/28/16, 2:37 PM",17
2016-05-28,14:37,Unknown,If you wanna join let me know,"5/28/16, 2:37 PM",17
2016-05-28,14:37,Unknown,I would like to hit a few but I screwed up my back on Sunday & I can still barely stand up,"5/28/16, 2:37 PM",17
2016-05-28,14:37,Unknown,Have fun!,"5/28/16, 2:37 PM",17
2016-05-28,14:37,Dad,I'm home if u want to stop in,"5/28/16, 2:37 PM",17
2016-05-28,21:56,Unknown,I saw u called me a little while ago. Everything ok?,"5/28/16, 9:56 PM",17
